Username,Text,Date
IRVINENP,"RT @jihadwatchRS: I'm not doing anything but reporting the facts. How interesting that you would think reporting the facts is ""putting dirt…",2023-06-05 10:46:23+00:00
Shahidn9191,RT @AbidAmeer2: At least no religion allows this shamelessness. Those who call themselves civilized are going to cross all the limits of sh…,2023-06-05 10:46:20+00:00
Universe_Judges,RT @MRobertsQLD: Canberra Health Autocrats have decided there is no place for religion in health care and are trying to take over the Calva…,2023-06-05 10:46:18+00:00
icreate_idesign,"RT @FS_Yusuf_: Omo. Nothing surprising here. While some think it’s politics, to others, it’s religion!!!",2023-06-05 10:46:18+00:00
F3dUp2,"Well, my alternate account got suspended for a week because I said Kamala Harris was a c@ll girl h00k3r, which is NOT a Twitter rule.  Their rules specifically state I can't harass based on religion, sexual orientation, gender, gender identity, age or disability. Get it together!",2023-06-05 10:46:17+00:00
ProcrAstynate,RT @PippyBing: Everyone at This Morning needs to seriously get over themselves now. The country in general does. Anyone would think This Mo…,2023-06-05 10:46:17+00:00
iamaalsiladka,RT @Abdullaahhhh13: GT captain Hardik Pandya doing sehri with his muslim teammates Rashid Khan and Noor Ahmed. And there is this shamless Y…,2023-06-05 10:46:13+00:00
RainMaker825,"@LeahRemini @MikeRinder My prayers go out to you, Mike. I know what it's like to leave a controlling religion, and it is definitely a scary thing. Thanks for all you've done, my prayers go out to you and your family...",2023-06-05 10:46:11+00:00
hukedanfonix,"@TinfoilTricorn @POTUS No, more like he’s standing up for us against you all because you want to use the government to force your religion down our throats and we are having none of it.  You aren’t privileged or special for being Christian.",2023-06-05 10:46:09+00:00
HARKORH,"@YINZMAN2 @Bobosilver1 @OnojaPikin3 @Obacruze Yesss I agree with you most of these people that carry religion on their head na them dey sin pass, we're just too problematic....y'all can't fight for God so please resttt.",2023-06-05 10:46:07+00:00
sumeets900,"RT @hindupost: Abid posed as Hindu to marry a woman, then forced her to sleep with his father as part of Nikah Halala: Bareilly, UP
https:/…",2023-06-05 10:46:07+00:00
hindupost,"Hundreds of Hindu activists helped in Balasore rescue ops, RSS, ABVP among first to reach spot, Bajrang Dal help survivors, donate blood too
https://t.co/8UePpOZ7qb",2023-06-05 10:46:06+00:00
scoshskincare,"RT @UncleLonny63: If the main figurehead of your religion has told you that the greatest commandment is to love one another, yet you’re mes…",2023-06-05 10:46:05+00:00
StephenWarman1,RT @Damo__73_: @MRobertsQLD There is no place for religion in health care. Calvary refused to look after people based on their religious do…,2023-06-05 10:46:03+00:00
Thompsonhenr,"RT @LagosGistNG: Top 4 songs on Spotify NG📈🇳🇬

1 - Olamide &amp; Asake “NEW RELIGION”
2 - Asake &amp; Olamide “AMAPIANO”
3 - Burna Boy “SITTIN’ ON…",2023-06-05 10:46:01+00:00
Cham3Mark,@radaniya67 An imaginary religion conjured up by Sarah Hassan as opposed to  the real muslims that Sarah Hsasan has no real connection with,2023-06-05 10:46:00+00:00
