Name,Username,Date_Posted,Tweet,Reply_Count,Retweet_Count,Like_Count,Relations
Sunny Leone,@SunnyLeone,23h,"Rains just made it more fun!! 
.
.
#SunnyLeone 
@BrenniaMaldives
 #maldives #beach #familytime #swimsuit",116.0,203.0,"6,131",family
Joanne Borzakian O,@joanneborzakian,Jun 5,"Welcome back to #Boston Sam! Sam Cassell is a tremendous basketball mind, coach & person & was a fabulous basketball player! He’ll be an extremely valuable addition to the #Celtics  We worked together & have been friends for 30+ years! #LetsGo #BostonCeltics #Nba #family",31.0,75.0,804,family
ALTT,@altt_in,16h,"Mera mood change ho gaya!

Use code ALTT12MS8181 Get 25% DISCOUNT on ALTT 12 Months Subscription Pack

https://altbalaji.onelink.me/DEAs/Subscribe

#DilHiTohHai #KaranKundrra #drama #family #funnyscenes #webseries",1.0,68.0,175,family
Louzival 2011 Founder Family #TeamlouziGroup,@louzival2011,Jun 4,"FOLLOW TOP FRIEND 
Thank dear friend Imar
@ammt409062691
 ⚘
I FOLLOWBACK 


#TEAMSTALLION #family  
I FOLLOW AND REFER YOU ",1.0,6.0,8,family
⬣ SuzannesArt ⬣ #HEX #TYRH #PLS #PLSX,@suzannehexican,Jun 4,"Enjoying life with #PulseChain and having the #timeofmylife with my #family. Just #hodl your #PLS #PLSX #HEX and all of your copied #eth #cryptocurrency you got from the largest #airdrop in history and you'll be fine . 
THE FUTURE WILL SHINE BRIGHT WITH #PULSECHAIN ",38.0,15.0,267,family
TonyC1988,@Tonycornick1,Jun 4,"Yesterday I finished something as a family we have worked so hard for  
54 appearances and 10 years of never giving up I can now proudly say I have passed the London knowledge  

#londonknowledge #londontaxi #taxi #hardwork #10years #family #theknowledge",197.0,52.0,673,family
Dan Knight,@DanKnightMMA,11h,"As I take a few days away to celebrate the newest addition to our family, a wonderfully real girl, I leave you with this: She's a 'she', not a 'they/them'. See you soon, folks. #FamilyFirst #ProudParent #GirlPower""",25.0,15.0,203,family
safa kadhim,@safakadhim87,Jun 4,"During the long break I'm watching some of this beauty 
#FamilyFirst",1.0,10.0,185,family
Samantha Kelly,@Tweetinggoddess,16h,"Lovely walk with the dogs and hubby was well enough to join me #familytime 
#Rosslareharbour 
#Wexford",2.0,3.0,47,family
Adam McLaughlin,@Adam_McLaughlin,Jun 3,"If your business is profitable at the expense of your family, you’ve missed the point.

#FamilyFirst",1.0,2.0,32,family
HNS,@HNS_CFF,7h,"23 players ready to write more #Croatia football history. 

The final squad for the upcoming #NationsLeague Finals in the Netherlands! 

#UNL #Family #Vatreni",132.0,52.0,332,family
NateBige,@NateBige,Jun 5,"Day 48 of tweeting until 
@BRob_2323
 commits to dominating the Edge in the Big House! We need your work ethic and leadership! 

#Family | #GoBlue | #Born2Play4Michigan | BF",2.0,5.0,29,family
China4Tech,@China4Tech,21h,"Adorable triplets girls in China !
#family #kids #familyvalues #Chinese
#China #triplets #parents 
@ajannong
 
#TikTok 
@Baidu_Inc
 #SocialMedia #AI
#三胞胎 #家庭 #小孩子 #fun #funny
@AnniePi64515715
 @qianzhang0330
 
@_Tom9999
 @TripInChina
 #Asia #fun",8.0,33.0,135,family
