Name,Username,Date_Posted,Tweet,Reply_Count,Retweet_Count,Like_Count,Relations
Zacd0rian_21,@Alezac_21,18h,"Do You get it the reference?:3

#bluey #blueyart #Fanart #bestfriends",5.0,57.0,206,friendship
Boba Inu,@BobaInu,Jun 1,"Boba Inu's secret weapon? 
The bear market!  
We're using this season to bulk up, accumulate, and unleash a power surge when the bulls return!  
#BobaInu #Cats #Dogs #bestfriends",12.0,29.0,46,friendship
Soccer Aid,@socceraid,Jun 4,"Serious #SquadGoals for the Soccer Aid World XI FC  

 See them live at Old Trafford next Sunday: http://bit.ly/3L3kh5U",7.0,29.0,138,friendship
Céline,@Maelise16,Jun 4,"Two years ago,I ran on a relay half  Cork city marathon from France. This year,as one,I did 5,5km and wore proudly this #BlueWave beyong the borders in #solidarity #friendship of 
@SanctuaryRunner
 and supporting the research for #woreesyndrom a rare neurodevelopmental disorder",3.0,2.0,23,friendship
Paula Maier,@PaulaMaier3,May 31,"My gym friend gave me this wonderful heart shaped rock to take to the surgery next week to bring me healing powers!
There are Angela on earth 

#Angels #friendship #gymfriends #cancerfree 
#reconstructionsurgery 
@ThanksCancer",33.0,11.0,359,friendship
•ĐɆ฿Ɽ₳•,@RoseVioletDeb,Jun 3," Friends are the Sunshine  of Life 

#Love #Caring #Friendship 
#BeautifulSouls ",3.0,6.0,19,friendship
RappCats,@RappCatsAdopt,May 31,"Marigold & her best friend Tig. ""Where he goes, I'm never far behind,"" she says. #friends #friendship #cat #cats #KittyTwitter #CatsOfTwitter #virginia #nova #va #dc #pets #love #luv #positiveenergy #PositiveVibes #bestfriends #rescue #AdoptDontShop #tuesday #wednesday",12.0,72.0,396,friendship
Maggie Hall,@Hall_Mags,23h,"After the running...what an amazing day in Cork city! Thanks so much to everyone 
@SanctuaryRunCor
 @SanctuaryRunner
 @TheCorkMarathon
 and the brilliant Fermoy International choir! #Solidarity #Friendship #Respect",,5.0,13,friendship
CATIA CARDOSO Fan Account,@catiavacardoso,Jun 2,"Knocking out the friend  #mood #Friendship 
@LanaParrilla
 #lanaparrilla",,1.0,16,friendship
★✧ 𝒜𝓁𝒾𝒸𝑒 ✧★,@Alice470971338,Jun 1,"A friend who understands your tears is much more valuable than a lot of friends who only know your smile.
#FriendshipGoals #RealFriends",4.0,17.0,43,friendship
อิควา(⁠人⁠*⁠´⁠∀⁠｀⁠)⁠｡⁠*ﾟ⁠+,@spicypricen,Jun 2,"hi! i'm new to #studytwt *:･ﾟ✧

about me : 
☆ call me iqa, she/her
☆ 05L
☆ I'm still in grade 11
☆ nct, enhypen , txt, new jeans,and others 

rt/like to be moots!

#studytwt #studytwtina #AMBISVERSE #ambistwt
#moots #mutualanyuk #mutualan #mootsrl #friendship",29.0,24.0,49,friendship
MillieandGriff,@MillieandGriff,20h,Looking out the window on the train today  #Bestfriends #furfamily #dogsoftwitter,7.0,25.0,685,friendship
Laney & Neko pi frank archie,@LaneyBK,Jun 1,"In case you forget, I’m never not thinking of you 

#CatsOfTwitter #CatsOnTwitter #teambengal #CatsLover #CatsAreFamily #bengalcat #thursdayvibes #cats #love #grateful #friendship #catlife #ThursdayThought",13.0,14.0,191,friendship
The Pink Tea Room - Alison Bladh,@pinktearoom,Jun 3,"Life is short. Surround yourself with people who inspire you, make you laugh, and fill your heart with love.  #lifegoals #positivity #laughter #love #friendship",3.0,8.0,34,friendship
Francesco Trepiccione,@tr3po,Jun 1,"@GlassockJ
 suggestion for a long and nice life in Nephrology #KNOWLEDGE and #friendship 
@JohannMorelle
 @Giovamb11762195",1.0,5.0,11,friendship
Manta,@MantaComics,May 30,"While Maxi and Riftan have the greatest relationship, the Remdragon Knights have the strongest friendship ever!

#UndertheOakTree #MantaComics #Friendship #Remdragon #Manhwa",7.0,43.0,212,friendship
Graham Clifford,@GrahamJClifford,23h,"So proud to be a 
@SanctuaryRunner
 everyday but especially on 
@TheCorkMarathon
 day.

Today was incredible, uplifting, powerful and beautiful.

42 nationalities on our team of 600 - one big team of soundness - the way life should be - ALWAYS 

#Solidarity #Friendship #Respect",1.0,15.0,121,friendship
Gauranga Das,@GaurangaDas,Jun 3,"Nobody benefits by living in an illusion. Therefore, one friend that will never be afraid to tell you the bitter truth is always better than a hundred friends who will tell you sweet lies.  

Send this to those friends who gave you the reality check.

#friendship #relationship",4.0,26.0,93,friendship
★✧ 𝒜𝓁𝒾𝒸𝑒 ✧★,@Alice470971338,May 30,What's she's saying  #FriendshipGoals If there's mutual #Respect #Honesty there's eternal #Loyalty from me ,1.0,4.0,10,friendship
Regional Science Centre Bhuj,@RscBhuj,Jun 1,"The final batch of the #summercamp2023 has embarked on a remarkable #Journey of #learning, #exploration, and #friendship at 
@RscBhuj
. From captivating #science experiments to fascinating astronomical observations, every moment has been filled with #wonder and #Discovery.",,18.0,24,friendship
Louise,@Lou__ize,Jun 2,"Morning twitfwends 

A good friend ..

Listens, validates feelings and gives hugs  
They may not always have a solution but that’s ok 
Just knowing you’re on this path together is enough 

Be a good friend.
Give more than you take 

#BestFriends
#FridayFeeling…",4.0,1.0,20,friendship
Colors TV Asia Pacific,@ColorsApac,Jun 1,"Nehmat’s life is in danger and Sartaj is leaving no stone unturned to save her. Is this friendship or the beginning of love?

Watch #Udaariyaan, Mon-Sun, 7 PM SIN | 4 PM SYD | 6 PM AKL | 5 PM BDT/FIJI.

#Colors #ColorsAPAC #Sartaj #Nehmat #love #friendship #NehTaj",,8.0,18,friendship
Tania Crosse,@TaniaCrosse,Jun 3,"She sacrifices her love for duty -  but can she live with the consequences?    
#Ireland #WW2 #Plymouth #Blitz #saga #suspense #drama #heartbreak #family #friendship 
http://amzn.to/3fB54vd       
Bk 10 #Devon #series
£1.99 #KindleUnlimited #paperback #Audio",,75.0,42,friendship
Tracey Wilson,@TWilsonOttawa,Jun 4,"My stepdaughter Kate and her incredible super dog Cinder won 1st place at a dock diving competition yesterday in Ontario. Proud of them both, their hard work and excellent performance  #SuperDog #DogsWhoJump #BelgianMalinois #BestFriends",10.0,10.0,209,friendship
Jennifer Wigston,@WigstonJennifer,Jun 1,"With 
@YCDSB
 students 
@RCMPDepot
 as we continue in our journey of learning to advance the TRC Calls to Action (#62 & #63) #SquadGoals 
@IndigenousYCDSB",,6.0,37,friendship
Susanna,@Susanna1994423,May 31,"Life is inseparable from friendship, but it is not easy to get true friendship; friendship always needs loyalty to sow. I hope you are doing well around the world #friendship",2.0,,21,friendship
Ate LilsRG - (NEXT 2 ME 06.09.2023),@AteLils_RG,Jun 2,"Good morning. Its friday and its #TeenClash day.

Skl, i remember from last airing of clashroom with teen clash casts sila sila rin ang nagbigayan ng message (insert fana) from jayda>gaily>ralphy>aljon>fana>luke. #FriendshipGoals #RalphGail miss you all",,7.0,33,friendship
Jamie Floyd,@jamiefloydmusic,May 30,"Missing my Grandfather Sonny today but feeling his energy all around my life right now

#sonny #life #missingyou #bestfriends",20.0,10.0,72,friendship
Angie,@pherasendiri,May 29,"As for me, I was a bit unlucky and didn't meet any good love, but fortunately, friendship has been taking care of me, thank you, my good sister #Friendship #Sister #Beauty #Woman #Sexy #like #Morning #stroll #Park #Enjoy #Free #Hapiness",1.0,2.0,20,friendship
"Iskcon,Inc.",@IskconInc,Jun 3,"You Want To Do Friendship With Kṛṣṇa ?

#SrilaPrabhupada #krishnaconsciousness #Krishna #HareKrishna #Iskconinc #Vrindavan #friends #friendship",2.0,16.0,144,friendship
mustLearnMore,@mustLearnMore,21h,"""Be tolerant with others and strict with yourself.""
— Marcus Aurelius
#stoicism #courage #tenacity #resilience #strength #love #family #friendship #gratitude #wisdom #discipline #philosophy #Christianity #happiness #health #mindfulness #mentalhealth #psychology #mustlearnmore",,1.0,5,friendship
Sara Goldrick-Rab,@saragoldrickrab,Jun 4,"Reunited after 30 years apart. 
#Friendship really is amazing.",2.0,1.0,61,friendship
Macja Preja,@MacjaPreja,Jun 4,"Happy Sunday from Celine! 

#MacjaPreja #AdoptDontShop #CatsofTwittter #catlover #ShelterCats #bestfriends",1.0,4.0,17,friendship
★✧ 𝒜𝓁𝒾𝒸𝑒 ✧★,@Alice470971338,Jun 1,"I forgive, but I also learned a lesson. 
I won't hate you, but I'll never get close enough for you to hurt me again. 
I can't let my forgiveness become foolishness. 

 ~ Tony Gaskin

#Respect #Honesty #Loyalty 
#FriendshipGoals",2.0,5.0,16,friendship
Seth Poling,@SethPoling10,Jun 3," What a fantastic morning watching Seth's ALS Sluggers and Liam tear it up in tee ball! The young sluggers showed some serious skills  But man, the real MVPs was the team, battling through that scorching heat!  #Bestfriends #teamworkmakesthedreamwork #EndALS",8.0,14.0,203,friendship
Melissa Thom,@MsThomBookitis,Jun 1,"Finished #ControlFreaks tonight and LOVED it soooo much! I just preordered it and YOU should too.  
@LevineQuerido
 #bookposse #JEThomas #STEAMS #Designchallenge #friendship",,22.0,32,friendship
Jake The Silver Lab,@jakesilverlab,18h,"Sharing our best friends forever photo.. we won 1st  prize in a photo contest last year! Do you have a bestie like us? We do not fight at all and we cuddle too! 
#bestfriends #dogsoftwitter #labrador #beautifuldogs #doggo",6.0,5.0,89,friendship
JennyStyle,@JennyStyle_Kiss,Jun 2,"Weekend bliss in the sun!  Excited for two wonderful days of freedom and meeting up with a dear friend on Sunday afternoon. Can't wait!  Enjoy your weekend, everyone!  #WeekendVibes #Sunshine #Friendship",2.0,3.0,44,friendship
azzurro.gallery,@AzzurroGallery,Jun 2,"""Soooo much affection""! 
#Video 
#animal  #AnimalsLover 
#love #awesome #dog #Duck #happy #friends #cute #friendship",1.0,,6,friendship
Deborah A. Ryan,@DeborahARyan2,Jun 2,"Thank you, Beautiful Bianca! I'm so Grateful for #Friendship #Love #Kindness & #Soulship !
Hugs  & Love ",1.0,4.0,5,friendship
Aapka Colors Canada,@AapkaColorsCAN,May 31,"If you know, you know! What dialogue would you use to describe Bela and Ranav’s dynamic? Tell us in the comments!

Watch #Bekaaboo, Sat - Sun, 8pm ET | 9pm PT

#Colors #ColorsCanada #love #Bela #ranav #friendship",5.0,14.0,23,friendship
mustLearnMore,@mustLearnMore,21h,"""Pain is inevitable. Suffering is optional.""
— Haruki Murakami
#stoicism #courage #tenacity #resilience #strength #love #family #friendship #gratitude #wisdom #discipline #philosophy #Christianity #happiness #health #mindfulness #mentalhealth #psychology #mustlearnmore",,,4,friendship
Inspiration by John,@LifeWithJohn,Jun 3,"True friendship takes us by the hand
and reminds us that we are not alone
in the journey. ~ #Friendship",2.0,8.0,18,friendship
milky ㅇㅈ ♡ ㅇㅈ,@ahnleewhen,Jun 2,"ahs: since we got closer to each other over 3 years we became very chatty when we are together.  besties fr 

#squadgoals 

#DrRomantic3Ep11 #Drromantic3 #AhnHyoSeop #LeeSungKyung",,13.0,60,friendship
Sheena Carroll,@SheenaC07300058,Jun 3,"Epic day to end Saturday football for our P5’s. The improvement of all players has been amazing so thanks to 
@Edin_Football
 for organising fixtures and making it possible to play with our friends and for our school. 
 
@corstorphineps
 #TeamMates #FriendsForever",1.0,1.0,10,friendship
"Mae loves snc, kat, & stas",@katsxplrx,May 29,"#stasandkatrina: you’re my best friend, i love you forever 

#bestfriends #stnk",4.0,7.0,15,friendship
Macja Preja,@MacjaPreja,May 29,"Senior gentleman Alex is enjoyed this sunny day and is doing well with his fosters. 
#MacjaPreja #AdoptDontShop #ShelterCats #bestfriends #beauty #catlover #animalshelter #CatsofTwittter #SeniorCat #OldieGoldie",2.0,4.0,23,friendship
Gary Andrews,@GaryScribbler,Jun 2,I love the ebb and flow of life. How you can meet up with a good friend after ages apart and just pick up where you left off. True friendship is a very precious thing. #doodleaday #friendship,7.0,2.0,264,friendship
Dream,@Dreamer_Avax,May 29,"You guys look better with a hat 

$Spore 
@sporeproject
 #Avax #bnb #friendship #BSCGEM",4.0,10.0,20,friendship
Tania Crosse,@TaniaCrosse,Jun 3,"One brutal night destroyed her life.
Can she ever recover?
Find out in this #awardwinning #saga 
#London #WW2 #family #friendship #Dance 
'#Atmospheric story of love & hope' - 
@jenwellswriter
 
http://amzn.to/2Bjeg0g",,37.0,20,friendship
Tavon Taylor,@TwiZt3d_H3aT,Jun 1,My A1 My Ace My Best friend..... Dad loves you lil man always remember I got u #ProudDad #fatherson #love #bestfriends #ANCHOR,,1.0,17,friendship
Tai Babilonia,@taiskates,Jun 3,"Friends since 1971! My skating sister is just as stunning now as she was when she made her film debut alongside the incredibly talented 
@Robby_Benson
  in ""Ice Castles"" I adore #LynnHollyJohnson & when  we're together it's always nonstop giggles!  #friendship #skatingfamily",15.0,8.0,210,friendship
Bartercard Surrey Storm Pathway,@SurreyStormNPL,Jun 4,"Loved the U15’s session this morning.   Working together, trusting each other.  #SquadGoals #Smiles #Strength #Success #StormRises",,4.0,28,friendship
Fereydon Pirloren,@fPirloren,Jun 3,"In a meeting with my friend Mr. Mitha Khan adviser to chief minister for information:
 #Iran & #Pakistan: One soul, two bodies.  Emphasizing the profound bond between our nations, exchanging delegations is indispensable. Let's foster dialogue, cooperation,  #friendship",1.0,3.0,10,friendship
SamAnu{Sam Missing Ur Presence,@SamzCraziestFan,Jun 1,"Only I can see lots of good friendship with so much love nd care 
@Samanthaprabhu2
 × 
@TheDeverakonda
 

#FriendsForever 
#SamanthaRuthPrabhu #Kushi #VijayDeverakonda #Samantha",1.0,14.0,76,friendship
Lorie M,@M5Lorie,May 31,Happy 17th Anniversary to this Terrific Tool Tech!!  Ken Thank You for your dedication to our Team & our Customers! We appreciate all that YOU do! #YourOPHD #YouRock #HomeDepotStrong #SquadGoals #GoTeam ,,2.0,21,friendship
Howard Donald,@HowardDonald,Jun 1,"Just watched a doc about the making of “greatest days”
Truly awesome! 
Can’t wait for you to see the film!
Thankyou for being with us for all these years and supporting us.
Really does mean the world.
Love and health to you all.
#greatestdays #friendship #TTarmy",110.0,69.0,"1,118",friendship
