Name,Username,Date_Posted,Tweet,Reply_Count,Retweet_Count,Like_Count,Relations
Elana,@Elana__Love,May 27,Some like it Hot... #Love,132.0,223.0,"2,373",love
Paul Williams,@pvt_ak,May 28,"Well. I have to say that this movement of walking my daughter, this bride,  up the aisle at the same church I married her mother, has to be one of my proudest moments ever. Ever. 
#love 
#wedding",436.0,337.0,"8,230",love
•⋆⋆✮Kris✮⋆⋆•,@Kristal38922455,May 27,"Good Evening 
#Lovely #nature #photo #love",4.0,112.0,254,love
Beautiful & Aurellia,@Aurellia421,May 27,"Follow my 
#Love",23.0,69.0,750,love
SONAL CHAUHAN,@sonalchauhan7,May 28,"𝓢𝓲𝓷𝓬𝓮 𝓲𝓽𝓼 𝓢𝓤𝓝 𝓓𝓐𝓨 
#SonalChauhan #sundayvibes #love #GOLD",273.0,519.0,24.6K,love
kerry washington,@kerrywashington,May 27,Happy 51st Anniversary to these crazy kids  #CoupleGoals,56.0,236.0,"5,306",love
JANE,@CosmicJane1,May 28,"Hey Twitter, family check out the new rescue kittens Uncle Ray has  #kittenrescue #kittens #cats #caturday #catsoftwitter #happyvibe #love",17.0,16.0,195,love
Pinkvilla,@pinkvilla,May 28,"#KaranKundrra and #TejasswiPrakash𓃵 look so in love as they pose together for the paparazzi 

#TejaTroops #Teja #TeJran #love",40.0,586.0,"1,838",love
J.G. MacLeod,@jgmacleodauthor,May 28,"Warm up with #Romance. Always #Free on #KindleUnlimited.

Romantic Suspense:
https://amazon.com/Moment-Time-Romantic-Suspense-Novel-ebook/dp/B08Y92J848/…

Time-travel Rom Com:
https://amazon.com/Future-Bride-MacLeod-Time-Travel-Romcom-ebook/dp/B07YK4J8VY/…

Historical Romance:
https://amazon.com/dp/B094NSN4K1/

Contemporary Fiction:
https://amazon.com/dp/B07F3FHTQY#SalesRank…

Vote:
https://goodreads.com/list/show/188559.Introduction_To_Indie_For_Trad_Readers…",9.0,261.0,185,love
Beautiful & Aurellia,@Aurellia421,May 27,"Follow my 
#Love",15.0,54.0,499,love
Aurellia ♡☆♡,@Aurellia42,May 28,"Follow my 
#Love
Love you all 
#Beautiful",41.0,117.0,"1,208",love
AZLAN,@Beata_Azlan,May 28,"Mom made pierogi!!!  

Soooo yummy, come frens while they last! 
Have a wonderful weekend & Memorial Day celebration
#dogsoftwitter #MemorialDay #Cooking #fun  #weekend #love",80.0,22.0,349,love
Claire,@Clarialorrene,May 28,"Looking at you

#Selfie #california #deathvalley  #Dogecoin #germany #happy #girl #fashion #stylish #beauty #travel #cosmetics #dresses #American #IPL #lips #hairyuncut #beautytips #hairstyles #love  #USA #selflove #PositiveVibes #weekend #Dubai #Greece #Germany #Weekend",6.0,9.0,27,love
Nick Mackman Animal Sculpture,@NickMackman,May 28,"Baby Asian elephant sculpture from the archive. Baby animals are always fun to sculpt and elephants, with their squidgy bodies, give me a chance to explore their skin textures and beautiful shapes. Please SHARE and spread http://nickmackmansculpture.co.uk/portfolio #elephant #love!",5.0,21.0,102,love
Patrick Carney,@Carney_ART,May 28,"I'm a gentleman, call me
old fashioned if you’d like.

#MichaelJackson #Art #KingOfPop #CarneyArt #KingofPopMichaelJackson #GlovedOne #Love #Music 
#ThereIsOnlyOne #MJFam
#artoftheday #Quote",12.0,31.0,77,love
Beautiful & Aurellia,@Aurellia421,May 27,"Follow my 
#Love",12.0,42.0,423,love
Tappytoon Comics,@Tappy_toon,May 27,"Check out our first round of June releases (plus one more for May!).
- A Tipsy Marriage Proposal for the Emperor 
- Backstage Kiss Scene 
- Civilian A
- My Bias is Showing?!

Read them on Tappytoon soon!

#Romance #BL #Tappytoon #Comics",6.0,80.0,285,love
chika,@chikadancesalot,May 28,"#HarukiMurakami
#AWildSheepChase

The sound of the waterfall grew faint, then came back.
“You still like my ears?” she asked.
I smiled and quickly reached out my hand to touch them.
“You know I do,” I said.

#love 

photo from ad movie by DIOR 
in screen of Ginza Mitsukoshi",1.0,3.0,25,love
RappCats,@RappCatsAdopt,May 28,"Little Lily is the 2nd #cat we got an application for yesterday! If all goes well, she'll be Pluto's forever sister. They've just met, but seem to get along well! #cats #AdoptDontShop #virginia #va #nva #nova #dc #pets #love #luv #PositiveVibes #goodnews #sunday #sundayvibes",41.0,111.0,773,love
Home Blue/ Leoanard productions/ Don Puto,@HomeBlue19,May 28,"A new ship was made today, And now I can't stop thinking about it. 

#Bluey #blueyfanart #blueyart #love",5.0,11.0,83,love
Emanelassiofficial,@Eman_elassi,May 28,"Let Love grow 
#Love",32.0,25.0,"1,816",love
mrperfect,@mrperfe18862344,May 28,"BEST VIDEO EVER ...

IF U SEE TEARS  IN SOMEONE ELSE'S EYES BUT U FEEL THE PAIN THAT MEANS YOU ARE TRULY A HUMAN BEING 

#humanity #KindnessMatters 

#AnkitGupta #PriyAnkit #AnkitBattalion #Love",2.0,8.0,20,love
Ak,@Ak63682467,May 27,"Best intro for an actress & Bgm also 

#YuvanshankarRaja #love #Vibe",1.0,71.0,360,love
꧁༒ ☬ 𝔹𝕦𝕕 ☬ ༒꧂,@bud_cann,May 28,"This day is particularly memorable for me because…
……𝙩𝙝𝙚𝙧𝙚 𝙗𝙪𝙩 𝙛𝙤𝙧 𝙩𝙝𝙚 𝙜𝙧𝙖𝙘𝙚 𝙤𝙛 𝙂𝙤𝙙 𝙜𝙤 𝙄 .
#Wife #Daughter #Family #Love
#𝕸𝖊𝖒𝖔𝖗𝖎𝖆𝖑𝕯𝖆𝖞  #𝙍𝙚𝙢𝙚𝙢𝙗𝙚𝙧𝙏𝙝𝙚𝙁𝙖𝙡𝙡𝙚𝙣… #USMarines",2.0,72.0,90,love
bdcrictime.com,@BDCricTime,May 28,"Couple goals 

#ShakibAlHasan #Shishir #CoupleGoals",5.0,17.0,512,love
Brooklyn Morgan Johnson,@BrooklynMorganJ,May 28,"let the warm gentle ocean breeze
bring you the cool peaceful winds of slumber

bonne nuit mes amours
~ brooklynmorgan
#inspire #love",2.0,7.0,19,love
Aurellia ♡☆♡,@Aurellia42,May 28,"Follow my.
#Love
Love you all
#Beautiful",37.0,129.0,"1,396",love
Vellore Response,@Velloreresponse,May 28,"#ThanikattuRaja Is Releasing On June 2nd all over Tamilnadu
@rajinikanth
 Thalaivaa Always #love You 

#Rajinikanth #Superstar #SuperstarRajnikanth #thalaivar #jailer #Lalsaalam #Trending #Rajini",1.0,139.0,394,love
