Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
KandiBurrussFanpage,@kandiburrussFP,May 17,"How sweet.  Todd surprises Kandi with friends on her birthday trip. Glad 
@KenyaMoore
 is there. #truefriends  Happy birthday 
@Kandi
 

#rhoa #kandiburruss #kenyamoore",160,675,"6,534"
Black.success,@Black_success01,May 16,"In and out of uniform, we got each other’s backs!  #BestFriends",11,7,287
Zing,@zingtv,May 17,"#HallyuTime | Our दिल goes  looking at them together 
Tune in to Hwarang every Mon – Fri at 6 PM only on Zing 
.
.
#Hwarang #ParkSeoJoon #ParkHyungSik #V #GoAra #ChoiMinHo #DoJiHan #LeeDaIn #SeoYeaJi #ChoYoonWoo #KimJiSoo #Warriors #Friendship #Love #Romance #KDrama #Korea",6,144,305
Pooja शुक्ला,@PoojaSh93557241,May 17,"With friends 
#friendship",32,6,181
Zing,@zingtv,May 19,"#HallyuTime | Him reading अ comment section full of love 
Watch #Hwarang, every Mon - Fri at 6 PM only on Zing 
.
.
.
#Hwarang #ParkSeoJoon #ParkHyungSik #V #GoAra #ChoiMinHo #DoJiHan #LeeDaIn #SeoYeaJi #ChoYoonWoo #KimJiSoo #Warriors #Friendship #Love #Romance #KDrama #Korea",6,202,435
The Snoopervisor / Wilma,@WilmaBenton19,May 19,"Nash is here for our 3 day slumber party. We’re gonna try really hard to be really good - but also have fun! 
#dogsoftwitter #dogs #BFFs",27,31,569
Kay Maynard,@brook_cottage_,May 18,"They love the sunshine! 
#bestfriends #Dachshund #ragdoll",4,17,240
JB,@aint_jeybi,May 18,jb 5ever #FriendshipGoals #happysoul,,14,227
The Snoopervisor / Wilma,@WilmaBenton19,May 19,"Oh dear! Nash hurt his paw - cut the pad. He is licking it and I am kissing him. We’ll call the vet in the AM. 
#dogsoftwitter #BFFs",55,24,561
Dogs Trust West London,@DT_WestLondon,May 18,"BEST FRIENDS!

Like Oskar and Daniel some of our dogs need to be the only dog in the home but they enjoy having doggy friends when out and about! Don't they look cute?! 

#BestFriends #Rehoming #Rescue #Adoption #ADogIsForLife #dogoftheday #ineedahome",1,56,132
Lord Basil,@DoctorLordBasil,May 17,"Hey everyone! My name is Oregano and I am here to help you with anything you need! Whether it's advice, a virtual hug, or just someone to chat with, I'm here for ya. Let's make some new friends and have some fun! #friendship #help #support",5,3,14
David Edwards,@dredwards2810,May 18,"Hello There!Just a Thought...""You walked by my side, saw me through troubled times and supported me. I love you. Without you, I'd linger on this Earth with a broken heart. Now, I see the beauty that rises with the sun.""- Jupiter Rose. Have a Great Day All!  #friendship",6,3,10
Hussein Idow Ali,@HusseinidowAli,May 19,"Just had a delightful evening with my esteemed state president H.E 
@Laftagareen
 in Mogadishu, Somalia. It was a pleasure to share laughter and a good conversation with a true leader. 
#Somalia #Leadership #Friendship",9,28,176
BHSSoftball,@BHSSoftball2019,May 17,"A BIG THANK YOU to our seniors for their hard work, dedication, and leadership they continue to bring to the BHS Softball Program!  These traits will carry you far in life! We wish you all the BEST! 

#bestteammates #thankyou #family #B1 #bhssoftball #burnsville #friendship",,2,23
akhila,@wordsandnotion,May 18,"Freedom
Faith
#friendship ",2,,22
Kay Maynard,@brook_cottage_,May 18,"They have a new garden chair!!! 
#Dachshund #ragdoll #bestfriends",5,9,134
Deep,@Randeepxduniya,May 18,Happy birthday #ShivangiJoshi #ZainImam #HappyBirthdayShivangiJoshi #RandeepRai #Randeepians #bestfriends,,10,19
Queen Aminata クィーンアミナタ,@amisylle,May 18," If your love isn’t giving this energy then we don’t want it 
.
http://Patreon.com/Queenaminata 
#couplegoals #friendshipgoals #lovegoals #sockabomb #africanwomanwrestler #queenaminata",11,15,200
aida,@aidelre,May 18,"we blew the judges away with our creativity and innovation! 6 GOLDs and 2 SILVERs on Penang International Invention, Innovation and Design.  
we're definitely doing a happy dance! we made it possible together!  #FriendshipGoals #PIID2023 #AwardWinners ",2,2,9
Cardiff Demons RLFC,@CardiffDemons,May 18,"Team News 

Here’s our 21 strong squad taking on 
@FevRoversRLFC
 this Sunday



#WomensRugbyLeague #CardiffDemons #ChallengeCup #Group1 #Round3 #Fixture #Clash #SquadAnnouncement #SquadGoals #TeamNews #KweensOfTheSouth #NorthMeetsSouth #UppaDemons #LetsGo",2,5,12
Metal Ninja Studios,@MNinjaStudios,May 19,"It's our last team member post! Our social media manager, 
@blakesbuzz
 is the newest member of Metal Ninja Studios! He builds hype in all the right places, and we're stoked to have him on the team! #squadgoals",,5,11
Unicorn-Dragon QUEEN,@Elley_Ray,May 18,"The ponies are Coming!!! See you all 
@Seaquestriafest
 this weekend in beautiful Baltimore! Let the #Magic #BingBong Begin ! #MLP #Mistmane #Friendship #Celebration ",4,4,34
Lefty Len Climate Change Resister,@Len_Future,May 19,Oh my gosh! I’ve missed seeing you dear wonderful sister resister Jackie! This makes my day dear fabulous friend! Thanks so much!! I wish you & all resisters a wonderful weekend! Having great friends like you makes life so much better! #Friendship #StrongerTogether,2,4,12
ADI,@AnimalDefenders,May 18,"David & Easy, rescued from circuses in Peru & Colombia, relax at the #ADIWildlifeSanctuary. Their #friendship has grown since we united them last year.
To #adopt them & help support their care:
US $ …https://animal-defenders-international-shop-usa.com/products/lion-family-adoption-david-and-easy…
UK £ …https://animal-defenders-international-shop.com/products/lion-family-adoption-david-and-easy…",5,51,303
Nursery at Croxteth Primary,@MrsNash16,May 19,"It was lovely to bump into our friends 
@hg_nursery
 at the farm! #friendship 
@CroxtethC
 @hgprimary
 @RainbowEduMAT",1,3,15
Bitsy Boutique Gift Shop,@bitsyboutiqueuk,May 18,"Share Your Love! 

#sharelove #love #loveeachother #friends #lovers #bestfriends #giveaway #hug #kiss #hugging #grow #lovegrows #shareyourself  #supportwomen #supporteachother #independentwoman #wesupportsmallbusinesses #wewanthandmade #wewantsmallbusinesses",1,6,18
✩𝒳𝓍𝒵♡𝓂𝒷𝒾𝑒𝒥𝑒𝓈𝓈𝓍𝒳✩,@ZombJess,May 19,"Look who came to visit all the way from Canada  
@MagicalApple90
 #twitchstreamer #twitchfam #canada #420community #gamer #weedsmokers #FriendshipGoals #thc #ganja",,2,16
Angeliki in NYC( Vote Biden/Kamala in 2024  ),@ellinidata,May 19,"I have no followers but FRIENDS here! thank you!
“Friendship marks a life even more deeply than love. Love risks degenerating into obsession, friendship is never anything but sharing.” #friendship",8,1,34
Macja Preja,@MacjaPreja,May 18,"Senior madam Popi wishes everyone a lovely evening. 

http://PayPal.me/macjapreja

SMS 1919 MUCKE5

#macjapreja #adoptdontshop #catsoftwitter #beauty #animalshelter #sheltercats #catlover #SeniorCat #OldieGoldie #bestfriends #bestfriends",2,2,17
All Elite Wrestling,@AEW,May 20,"A complicated history between #BestFriends 
@sexychuckiet
 @trentylocks
 and 
@WheelerYuta
, indeed

Watch #AEWRampage on TNT!",6,94,336
"Angela Barnes, M.Ed.",@AngelaBarnes09,May 19,"@BenDavisNGC
 @NGC_University
 @BestBuddiesIN
 Chapter had an amazing year of fun year of #friendship! #inclusion #NGCPride #wearewayne",,6,15
Orchard Corner Alpacas,@Orchard_Alpacas,May 19,"So Ebony's cria now has a name .......
meet Orchard Corner Minnesota #fridaymorning #goodmorning #friendship",,2,39
Paula Moses,@Yorkie7,May 19,"𝕎𝕒𝕟𝕥 𝕥𝕠 𝕓𝕖 𝔹𝔽𝔽'𝕤??

Trixie is all in for being friends with Rose but Rose isn’t so sure! 
Trixie is still in shark teeth phase! LOL
#dogsoftwitter
#bestfriends",5,1,45
InterSaga,@inter_saga,May 16,"Having twin boys is truly special Here they are, two weeks old, and already holding hands  #twins #bestfriends",4,,17
Daisy the Malti-pom,@daisy_pom,May 19,"Flynn,…my special Twitter crush, crossed thebridge today. His smile made us smile. He shared his life on Twitter & strangers from afar became friends. He was loved so much by his mums & they are in our thoughts today. 
#friendship #dogs #dogsoftwitter 
@FlynnTheRescue
 #OTRB",188,138,"1,393"
