Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Cartoon Network,@cartoonnetwork,May 21,"Plank may be quiet, but he's a wood listener  Aren't Jonny x Plank #FriendshipGoals? 

#EdEddnEddy #Jonny #Plank #CartoonNetwork #2000s #1990s #90scartoons #2000scartoons #throwback #throwbackcartoons #ededdneddymeme #90skid #90s #nostalgia",30,132,602
KODA,@DOCTOR__KODA,May 23,SALE!!! SALE!!! SALE!!! PRICE REDUCED Misty Brightdown plush  10 inches 330$ (free shipping) #plush #MLP #mylittlepony #pony #plushie #Friendship #Equestria #Magic #toys #Misty #Brightdown #G5pony,4,35,165
R.N@turebeauty2,@R__Naturebeauty,May 22,"We are cute friends 
#friendship 
#cat #Caturday 
#CatsOfTwitter",2,71,145
Zing,@zingtv,May 21,"#HallyuTime | Kya है your reason to watch Hwarang?
Tune in to Hwarang every Mon – Fri at 6 PM only on Zing 
.
.
.
#Hwarang #ParkSeoJoon #ParkHyungSik #V #GoAra #ChoiMinHo #DoJiHan #LeeDaIn #SeoYeaJi #ChoYoonWoo #KimJiSoo #Warriors #Friendship #Love #Romance #KDrama #Korean",7,119,271
Laney & Neko pi frank archie,@LaneyBK,May 23,"This little kitty use to greet me every morning in front of a small cafe as I walk to work. He clearly lived in the area and just love meeting his favourite people 

#CatsOfTwitter #CatsOnTwitter #CatsLover #Cat #catlife #tuesdayvibe #feline #friendship #photography #lovecats",8,14,184
Mack's World,@mack_world,May 21,Sunday snuggles  #macksworld #bestfriends,10,14,188
Big Cat Rescue,@BigCatRescue,May 20,"“The people we meet change the way we see the world!”

#CameronLionAndZabuTiger #BigCatRescue #BigCats #Rescue #Cats #ChangeTheWorld #WorldChangers #Friends #Friendship #Lion #Tiger #Quotes #QuotesToLiveBy #Inspiring #InspirationalQuotes #CaroleBaskin #Florida #Sanctuary",3,14,75
Melisa Quigley Author,@MQuigley1963,May 23,"Write a #sixwordstory or a #poem about this picture.

Standing still
Admiring the view
Oh, how I love
Being with you

#friendship #WritingCommunity #poetrycommunity #prompt #nature #naturelovers",41,134,289
Juhi Sabri,@juhi_sabri,May 23,"Shared By #ShaheerSheikh 
Thank You Sir 
 #shaheernsheikh #friendship 
#sanaaminsheikh #kyamasthailife",,7,14
CciDrea Official || ||,@CciDreaofc,May 20,"#AndreaBrillantes 
@iamandrea_b
 with 
@Espanto2001
 and 
@kyle_echarri
 at the #UMHCelebrityWatchParty 
@ABSCBN
 @starmagicphils
 @iwanttfc
 

#DragYouAndMe #SeniorHigh #BestFriends 

Picture and videos courtesy of 
@DreamscapePH
 on FB and 
@showbiznow
 @gidgetgc
 on IG
…",,57,116
Cardiff Demons RLFC,@CardiffDemons,May 21," Demons On Fire  

#WomensRugbyLeague #CardiffDemons #ChallengeCup #Group1 #Round3 #SquadGoals #KweensOfTheSouth #NorthMeetsSouth #UppaDemons #WinnerWinner #DemonsOnFire #QuarterFinalsBaby!!!!!!",,4,19
The Penguins Family,@penguins_family,May 23,"Friends are the best!

#ThePenguinsFamily #penguin #friendship #cute #PenguinsLife #life #cartoon #dailylifecartoon #dailylife #illustrator #ilustracao #kidlitart #kidlitartist #插图师 #企鹅 #插画 #JulianaMotzko",1,4,20
Saokono Next stop: Salón manga Jerez 3 y 4 Junio,@SaokonoArt,May 22,"Next of the DigiDestined is YAMATO!
He is a character that I have always loved-hated
But I think he is one of the characters with the greatest personal growth

#yamato #ishida #digimon #matt #adventure #friendship #amistad #tsunomon #harajukustyle",,5,8
Pallavi(Ruby)Baruah,@25rubybaruah,May 23,Friends Forever . #FriendshipGoals ,2,3,19
𝚂𝚃𝙴𝙿𝙷 𝚀 ꧁🅂🄿🄽🄲🄷🄸꧂,@akaStephQ,May 23,"What an amazing weekend!  I had an absolute blast in Paris with Melina! I don’t get to see her very often but when I do it’s always such a fun adventure! 
Anywho, I hope everyone had a lovely weekend and a wonderful Monday!Goodnight everyone! 

#Happiness #friendship #love",1,2,25
Murray & Friends,@burrowingbolt,May 22,"Buffy's best little pal Dottie came for a visit to cheer her up, it was great to see Auntie Gill as well. Traditional greetings were of course observed  #dogs #dogsoftwitter #DogsofTwittter #Newfoundland #newfie #BFFs #littleandlarge",1,3,54
TheEnglishCaravanCo,@TheEnglishCarav,May 21,"Morning Campers!...  

#morningcampers #haveagreatday #lotsoflove #caravanlove #friendship #love  #caravanfamily #smile #behappy",2,2,13
James Price,@JPriceCartoons,May 21,"Sometimes Rita gets a little nervous (especially if she has a crush on a handsome young wolf like Wayne).

#cartoon #wolves #love #romance #couples #drawing #cute #friends #friendship #illustration #digitalart",2,4,28
Zing,@zingtv,May 20,"#HallyuTime | The level of ‘relieved’ Ah-ro is Sun-woo के saath 
Watch #Hwarang, every Mon – Fri at 6 PM only on Zing 

#Hwarang #ParkSeoJoon #ParkHyungSik #V #GoAra #ChoiMinHo #DoJiHan #LeeDaIn #SeoYeaJi #ChoYoonWoo #KimJiSoo #Warriors #Friendship #Love #Romance #KDrama",,4,16
Atenaga Victor,@atenagavictor,May 21,"When we get healed, we ought to spread the healing to other. #tRIB #peoplefactor #friendship #twitter",,5,14
Lefty Len Climate Change Resister,@Len_Future,May 19,Oh my gosh! I’ve missed seeing you dear wonderful sister resister Jackie! This makes my day dear fabulous friend! Thanks so much!! I wish you & all resisters a wonderful weekend! Having great friends like you makes life so much better! #Friendship #StrongerTogether,2,4,12
Queen Zee,@marzodi,May 23,"SUSSEX SQUAD!!!!!! 

Proudly on the right side of history! Here’s to all of you fabulous people! 
#SquadGoals #SussexSquad",2,92,319
Greatest Days The Musical Fans,@Greatest_Days_,May 23,"A few more audience reviews 
@PalaceAndOpera
 after yesterday evening’s performance of Greatest Days Musical. 

#greatestdays #takethat #friendship #nostalgic #musical #theatre #garybarlow #TimFirth #greatestdaysambassadors",,9,20
Angeliki in NYC( Vote Biden/Kamala in 2024  ),@ellinidata,May 19,"I have no followers but FRIENDS here! thank you!
“Friendship marks a life even more deeply than love. Love risks degenerating into obsession, friendship is never anything but sharing.” #friendship",8,1,34
All Elite Wrestling,@AEW,May 20,"A complicated history between #BestFriends 
@sexychuckiet
 @trentylocks
 and 
@WheelerYuta
, indeed

Watch #AEWRampage on TNT!",6,94,336
The Sklar Brothers,@SklarBrothers,May 21,"#HarMarSuperSklar one of the best parts of going on the road is getting to hang with old friends while holding tiny dogs. #friendship #comedy 
@HarMarSuperstar",6,1,62
Zhengguan,@ZhengguanCN,May 23,"Good #morning, dear friends~
A friend means that I can take off all my defenses by your side at any time and share all the good things with you!#friendship #AnimalsLover",2,9,26
Sumana Datta Kapavarapu,@heissuman,May 23,"Re-watching nth time!
#dalapathi by #maniratnam
One of the greatest story on the greatest of existing bonds: #friendship 
#Mammootty and #Rajinikanth 
Special mention #aravindswamy 
Interval scene and climax ",,15,28
Murray & Friends,@burrowingbolt,May 23,"Koko was delighted to meet her friend Tilly on her walk, things are always better with friends   #dogs #dogsoftwitter #Newfoundland #newfoundlandandlabrador #BFFs #friends #friendship",2,3,60
The Don Rickles Channel,@RicklesChannel,May 22,"You've got a friend in me! Don with his best friend, fellow comedian Bob Newhart. Tune in July 4th for Don's ""Pine Knob Amphitheater"" performance, premiering on the Don Rickles YouTube Channel! #bestfriends #comedy #donrickles #bobnewhart #newhart #yougotafriendinme #ToyStory",1,1,10
Sphoenix- Nic Owen,@sphoenix78,May 22,Know your tribe xx  #friendship #connection,7,,25
The Pink Tea Room - Alison Bladh,@pinktearoom,May 21,Just got back from an amazing golfing weekend in Scotland with my girlfriends. It's so wonderful to spend time with friends & create new memories. Feeling #grateful for the experience & looking forward to the next adventure. #GirlsTrip #GolfingWeekend #Scotland #Friendship,1,2,29
The Pink Tea Room - Alison Bladh,@pinktearoom,May 22,"Distance may separate us physically, but true friendship knows no boundaries.  Let's cherish those special people who may be far away in miles but always close to our hearts. Tag your long-distance bestie and show them some love today! #friendship #distance #love",2,1,17
James Price,@JPriceCartoons,May 21,"A picture of Florence Kensington (Foxie), Casandra Mittens (Sandi) Penny and Pixie when they were all little girls.

Maybe one of them invited the others round their house?

#cartoon #drawing #originalcharacter #cute #girls #friends #friendship #illustlation #digitalart",2,5,25
GEOSANS777 creator of omniverse,@777geosans,May 22,"Team friend to the hot springs relax
Geo: I will pay all
Wilson: sigh... 
Friend: omg.. 
@CharaYT5
 @Cherry_mel_10
 @Kok3_Art
 @Ellie_sanmi
 @Cherry_mel_10
 @BerryFabri
 @Evan_BeamTH
 @araarashishi048
#fanart #friend #team #relax #fun #bestfriends #funny #cute #draw #myart #oc #myoc",8,16,48
Sally Powell,@smallclanger99,May 23,Friends are the best! #soulsister #friendship,,,20
Jason Grohoske,@jgrohoske9,May 21,"#SquadGoals at 
@NatlRestShow
 while visiting 
@JJSnackFoods
. I love you, 
@DippinDots
 

@superpretzel
 and 
@Official_ICEE
 are pretty cool too! #2023RestaurantShow",2,2,11
Spampi & Savre Daily - Fan Account,@spampsavredaily,May 21,"They are absolutely the definition of platonic soulmates. 
@D_SAVRE
 @spampistefania
 

#daniellesavre #stefaniaspampinato #mayabishop #carinadeluca #marina #stefanielle #friendship #platonic #stefanielleedits #stefanielleedit",2,1,45
Nik Colk Void,@nikvoid,May 21,"Happy Birthday to beautiful 
@KlaraLewis_
 #friendship #collaboration #darkmofo",,,18
Alien Superstar,@drhymes_,May 21,"My friends and I went to Taco Festival here in Phoenix, AZ yesterday, and we had a blast! This place is starting to feel like home, and it only took 3 whole years, lol. 

#tacofest #phoenix #friendship",4,,17
Toby McClane,@toby_MCC99,May 23,"Out for a belated 40th B’day meal after day one of the 
@ParamedicsUK
  2023 conference with 
@ReflexMedical1
’s Sam and Harriet. 

Meanwhile at Home, this birthday cake arrives    #ParaCon23 #birthday #outout 
@Qualsafe
  #birthdaycake #friendship",7,1,23
Lola,@SafariKitty,May 21,"I got to babysit my daughter's BFF today.  She's such a little firecracker .  They're just 9 days apart!!  I love her like she's mine.  

#BestFriends
#BFFs
#SinceDiapers 
#WeekendVibes",2,,6
Trevethin Lodge 6008,@Trevethin6008,May 23,"Welcome to Bro Anthony, who was initiated into Trevethin Lodge 6008 this evening. A first class ceremony was followed by an excellent meal afterwards for those who joined us #freemasonry #friendship",,3,7
Fd Benjamino Malo out now,@Xtnx__,May 22,"""Nothing like a surprise visit from the talented @
@symphonybeatz
 be came by to drop some hot freestyle and show support for my upcoming album  

#fdbenjaminomalo #newallbum #outmay26 #music #collaboration #friendship #upcomingalbum""",,4,5
Inspiration by John,@LifeWithJohn,May 23,A friend is someone who gives you total freedom to be yourself. - Jim Morrison ~   #TrueFriends,1,10,22
Lene Benedicte,@BenedicteLene,May 22,"My friend came over. We had a nice couple of hours on the balcony 

I wish everyone had a #friend in their life. 

#friendship",2,1,17
SinDeath,@SinDeath_,May 24,"Hey SinNerds! In about an hour, I'll be streaming HELLDIVERS alongside 
@The_Rezdog
, 
@ObtuseOcelot
, and 
@rudelad737
 for Together Tuesday!

(Twitch links below)

#SmallStreamersConnect #twitch #twitchsteamer #TwitchAffilate #BestFriend #bestfriends #indiedev #indiegame #Helldivers",1,4,6
John The Slayer,@JohnWickKaBaap,May 23,"Before meeting 
@arindampaul1224
 I used to think Mount Kilimanjaro belonged to Kenya. But he corrected me and said it belonged to Tanzania.. For many of you it may seem insignificant but for me, it is quite a significant fact.

#friendshipgoals",3,2,15
bouncebackon1.eth,@BounceBackOn2,May 22,"I wanna give a special shot out 2 
@kwatts3838
 4 Titanium here 
@PlaySwoops
  in exchange for a commissioned art piece I will hand draw 4 him with a ball point pen. Much Love Brother 4 the Love & Support.Stay tuned 4 what I will cook up.
#Art #Artist #Friendship #OwnersClub #Vet",5,5,21
Superbook,@SuperbookTV,May 23,"Do you have a friend in need? Go the extra mile to help him or her today. 

#SuperVerse
#Friendship",,4,30
Sanctuary Runners Ireland,@SanctuaryRunner,May 20,"Community Integration this morning - everywhere across Ireland from Letterkenny to Mallow, Tallaght to Cork and Limerick to Monaghan! #RunAsOne #NowMoreThanEver #SanctuaruRunners #Solidarity #Friendship #Respect
@Rethink_Ireland
 @irishathletics
 @FionacFinn
 @joefingalgreen",,10,26
Inspiration by John,@LifeWithJohn,May 23,"True friendship isn't about being there when it's convenient, it's about being there when it's not. - Unknown Author ~ #TrueFriends",,5,8
Girls’ PE Dept at Bolton School,@BSGDSport,May 22,"ROUNDERS
Well done to all in Year 7 who had an amazing time in the sunshine  this morning taking part in their Inter form Rounders competition. 

Congratulations to overall champions 7E  and to runners up 7D 
#BSGDYear7
#BSGDRounders
#BSGDSport
#fun #friendship #challenge",2,5,13
