Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Zacd0rian_21,@Alezac_21,18h,"Do You get it the reference?:3

#bluey #blueyart #Fanart #bestfriends",5,57,206
Boba Inu,@BobaInu,Jun 1,"Boba Inu's secret weapon? 
The bear market!  
We're using this season to bulk up, accumulate, and unleash a power surge when the bulls return!  
#BobaInu #Cats #Dogs #bestfriends",12,29,46
Soccer Aid,@socceraid,Jun 4,"Serious #SquadGoals for the Soccer Aid World XI FC  

 See them live at Old Trafford next Sunday: http://bit.ly/3L3kh5U",7,29,138
Céline,@Maelise16,Jun 4,"Two years ago,I ran on a relay half  Cork city marathon from France. This year,as one,I did 5,5km and wore proudly this #BlueWave beyong the borders in #solidarity #friendship of 
@SanctuaryRunner
 and supporting the research for #woreesyndrom a rare neurodevelopmental disorder",3,2,23
Paula Maier,@PaulaMaier3,May 31,"My gym friend gave me this wonderful heart shaped rock to take to the surgery next week to bring me healing powers!
There are Angela on earth 

#Angels #friendship #gymfriends #cancerfree 
#reconstructionsurgery 
@ThanksCancer",33,11,359
•ĐɆ฿Ɽ₳•,@RoseVioletDeb,Jun 3," Friends are the Sunshine  of Life 

#Love #Caring #Friendship 
#BeautifulSouls ",3,6,19
RappCats,@RappCatsAdopt,May 31,"Marigold & her best friend Tig. ""Where he goes, I'm never far behind,"" she says. #friends #friendship #cat #cats #KittyTwitter #CatsOfTwitter #virginia #nova #va #dc #pets #love #luv #positiveenergy #PositiveVibes #bestfriends #rescue #AdoptDontShop #tuesday #wednesday",12,72,396
Maggie Hall,@Hall_Mags,23h,"After the running...what an amazing day in Cork city! Thanks so much to everyone 
@SanctuaryRunCor
 @SanctuaryRunner
 @TheCorkMarathon
 and the brilliant Fermoy International choir! #Solidarity #Friendship #Respect",,5,13
CATIA CARDOSO Fan Account,@catiavacardoso,Jun 2,"Knocking out the friend  #mood #Friendship 
@LanaParrilla
 #lanaparrilla",,1,16
★✧ 𝒜𝓁𝒾𝒸𝑒 ✧★,@Alice470971338,Jun 1,"A friend who understands your tears is much more valuable than a lot of friends who only know your smile.
#FriendshipGoals #RealFriends",4,17,43
