Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
ACP Priyashree Pal,@PriyashreePal1,May 8,Throwback…. #friendsforever,134,109,"4,315"
KODA,@DOCTOR__KODA,May 7,SALE!!! Misty Brightdown plush  10 inches 440$ #plush #MLP #mylittlepony #pony #plushie #Friendship #Equestria #Magic #toys #Misty #Brightdown,5,79,404
ViralHog,@ViralHog,May 9,"Besties forever! 
#viralhog #bestfriends #dogs #cute",,11,62
Mortal_Kombat_Addict | Fatalities Daily,@MK_habit_addict,May 5,"When you remember it’s Friday! 
#MortalKombat #FRIENDSHIP",9,99,617
Cranch Media,@CranchOfficial,May 8,"Your #Shibdu hearts fluttering yet?

#AbduRozik #ShivThakare #BB16 #BestFriends #Buddies #Mandali #Shibdustan #shibduforever #CranchMedia",5,128,203
Big Cat Rescue,@BigCatRescue,May 6,"“Be the kind of friend who makes someone’s life better by just being in it!”

#LoveyAndThurstonBobcats #GilligansIslandRescue #HappyAnniversary #Bobcat #Friends #Friendship #Kindness #Quotes #QuotesToLiveBy #CaroleBaskin",1,23,101
Sharron-lee Honey,@sharron_honey,May 9,"Well I just found a parcel on the door step 
@BlokeOnWheels
 you are a nutter but ffs I love you loads xxxx #BFFs",33,7,270
tora,@torarelaxtime,May 6,"I am really happy that I was able to have an encounter with you.

#Friendship 
#HappyMay",4,202,268
𝑸𝒖𝒆𝒆𝒏~𝑷𝑯 ♡,@ItsQueenPH,May 7,"Quantity doesn't matter Quality matters.Surround yourself with people who are good for your mental health.Making 100 friends is not a miracle,the miracle is to make a single friend who will stand by you even when 100 are against you.

#ShivangiJoshi #Friendship",3,20,50
TheMastiffMafia,@mafia_mastiff,May 8,"Good morning friends I've said my prayers my cup of morning life is filled with Patriotism and my boys are by my side. Everyday may not be good but, there's something good in everyday. 
 God is good  Trump's still POTUS Legally  #BestFriends",22,13,57
De Smet Jesuit Golf,@DesmetGolf,May 9,"Once again my team had made me proud.  They work hard, they grind, and they get the job done.  Congrats on a district championship.  Moving onto state.  #BestFriends",3,5,39
Dil Toh Bachcha Hai Ji,@bronz_O_Genius,May 9,"Having friends with the same mental disorder is priceless  
#tuesdaythoughts 
#friendship ",20,11,97
InJesus’Name,@One_Of_His,May 6,"Proverbs 17:17
King James Version

A friend loveth at all times, and a brother is born for adversity.

#Friendship #fellowship #Love",7,14,43
All Elite Wrestling,@AEW,May 8,"#AEW World Trios Champions #HouseOfBlack (
@malakaiblxck
, 
@brodyxking
 & 
@snm_buddy
) look to welcome the team of #BestFriends (
@trentylocks
 & 
@sexychuckiet
) & 
@bandidowrestler
 to the Open House, with the title on the line, THIS WEDNESDAY on #AEWDynamite at 8pm ET/7pm CT on TBS!",4,59,297
The Richmond School,@TheRichmondSch,May 9,"A #StaffShoutout to two superstars from #Year6
Steff Jacklin and Amanda Smith.
They made these and gave them out to each #Year6 pupil before taking their #sats2023 papers. #Caring #Thoughtful #Creative #Kind #Friendship #Values #TheRichmondFamily",,2,24
PotatoFoxy,@ThePotatoFoxxo,May 8,What is a true friend for you? #VRChat #furry #furryfandom #truefriends,20,39,381
"Angel Mushu, Zinny, Winny",@mommasboymushu,May 8,"This M could stand for Monday but it doesn't, it stands for MUSHU ! THANK YOU Lily, Angel Spencer & family 
@SirSpencerPug
 for the beautiful charm . Momma will proudly wear it in remembrance of me. #puglife #pugsoftwitter #dogsoftwitter  #friendship #love #memories",32,10,209
