Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
R.Nature Beauty1,@R_naturebeauty,May 15,"Beautiful friendship always enhances our mood 
#FriendshipGoals 
#friends",2,75,137
The Where True Love is Movement,@WhereTrueLoveIs,May 14,"To ALL who nurture. Happy mothering day. 
#MothersDay2023 #lgbtqia #petparents 
#transmasc #trans #transgender #stayathomedads #friendship #All",6,125,265
FanologyPV,@FANologyPV,May 16,F R I E N D S H I P    #TheLegendOfVoxMachina #friendship,,13,58
whisky,@WhiskyKilt,May 15,Hilarie and Danneel supporting each other are pure #FriendshipGoals #SaveTheWinchesters,1,34,145
Sofia Coppium,@indianloonie,May 14,This is the squad team #vibe for May  #squadGOALS,5,1,25
Munaf Patel,@munafpa99881129,May 13,"Meri Dosti Meri Jaan !!!
You guys tag ur friends 
#friendship #love #Brotherhood #BrothersLove",4,6,220
Paola Dazzan,@paola_DZN,May 15,"Just as ⁦
@SIRSGlobal
⁩ conference comes to an end, thinking of the many wonderful moments shared with friends and colleagues, a lovely picture here with my dear Kim Do! Meetings are about #science but also #friendship and fun!",,3,65
BBC Breakfast,@BBCBreakfast,May 15,"A wonderful tribute from Oscar winner 
@charliemackesy
 to Kevin Sinfield & Rob Burrow

#friendship",23,162,"2,435"
CariMurph,@carimurph,May 13,"I adore you 
@SammisUniverse
 thank you for being my best friend and always looking after me <3 you rock! Thank you Destiny the game for bringing us together! #bestfriends #sammisuniverse 
@DestinyTheGame
 @DestinyGameUK
 @Bungie",6,4,22
The Snoopervisor / Wilma,@WilmaBenton19,May 15,"HOORAY! Nash got to come over today! We played tug-o-war and bitey face and had ice cream. He couldn’t stay long but it was wonderful to see him. 
#dogsoftwitter #bffs #reunited",38,22,657
All Elite Wrestling,@AEW,May 11,"It's an Open House Match for the #AEW World Trios Title! Champions #HouseOfBlack (
@malakaiblxck
, 
@brodyxking
 & 
@snm_buddy
) take on the team of #BestFriends (
@trentylocks
 & 
@sexychuckiet
) & 
@bandidowrestler
 TONIGHT on #AEWDynamite at 8pm ET/7pm CT on TBS",15,111,588
The Teddy Bear Ladies - Julie and Amanda,@teddybearladies,May 11,What a lovely bunch.  Repair Shop team just hanging out #teddybearladies #therepairshop #dreamteam #friendship #selfietime #bettertogether,5,6,398
JoJo_March61 #OurUnitedRoyalFamily,@Jojo_march61,May 14,"Our Beautiful Royal Ladies dressed in BlueAll a loving Family & All of them each other's best friends  Who Agrees?
#QueenCamilla #PrincessofWales #PrincessAnne #DuchessofEdinburgh #Eurovision2023 #Friendship #royalty #RoyalFamily #United #StrongerTogether #Jojo_march61",17,77,618
Smile&Shine,@smileandshine20,May 14,"Temple Run for progress, prosperity, and peace. 
#sundayvibes #friendship",10,3,52
Cardiff Demons RLFC,@CardiffDemons,May 12,"Team News 

Here’s our 17 strong squad heading to Warrington for the 
@RugbyLeague9s
 this Sunday

 Victoria Park - WA4 1DG
 14/05/2023
 13:00-16:00

Still some space on the bus, Come and Show Your Support

#WomensRugbyLeague #Nines #SquadAnnouncement #SquadGoals",,3,11
Roy Llowarch,@RoyLlowarch,May 15,"Amazing & Inspirational
Rob Burrow being carried over the line at the Leeds Marathon by Kevin Sinfield. Both men played Rugby for Leeds Rhinos before Rob was struck down with MND 2019   
#runforrob #everyoneneedsafriendlikekevin #friendship #MND #heroesinlife #Heroes #kindness",5,4,29
Ann,@skywatcher789,May 13,"""Thanks for the baby brother Ann. I Love Him.... #roughcollies #collies #dogs #dogcelebration #dogsoftwitter #bestfriends #memories",1,5,20
Vavie %DDfan™,@VavieC,May 12,Seven years ago #davidduchovny #lacigale #holycow #friendship,2,2,35
