Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Clairebear,@itscaddieissues,May 24,"It’s a good day for a round  
-
-
#caddieissues #golfgirls #bestfriends #golfgirls #ponytails",11,13,366
Dr. Shriram Nene,@DoctorNene,May 25,"Squad Goals Outing and feasting together! #throwbackthursday 

#DrNene #outing #foodie #foodlover #chilling #squadgoals #feasting #twitterfood #twitter",9,15,110
Melisa Quigley Author,@MQuigley1963,May 26,"Write a #sixwordstory or a #poem about this picture.

Pick a Boo
I see you
I don’t want to play
In the mud today
I’d rather chat
As a matter of fact
With my new friend
Her name is Zen

#WritingCommunity #poetrycommunity #prompt #friendship",30,102,227
Esther_YuShuXin.Global,@YuShuXin_Global,May 25,"Douyin update || 2023.05.25

#来自星星的穿搭
#香港 #HongKong
#BestFriends #Besties #闺蜜
#YuShuxin #EstherYu #虞书欣 #우서흔 #ユー・シューシン #NguThưHân #อวี๋ซูซิน 
#Cpop #ChineseActress",,21,66
Curiously,@CuriouslyMedia,May 25,"Do you have a small friendship group or do you prefer having a bigger circle? 

Because Love Island’s 
@ekinsuofficial
 has revealed that she now has just one friend - but that she’s happier that way. 

#LoveIsland #FriendshipGoals",3,7,52
ᴋʜᴏʟᴏᴜᴅ ʏᴜsᴜf,@kholoudyusuf1,May 27,"Only Samaroon people can handle me for 16 years.
I’m honestly grateful for my best friend /sister who supports me in every way possible.
Been trying to get her involved in Somali politics for years she finally agreed. #bestfriends #sisters",10,2,97
AKKU™♡,@JoharAkku_21,May 25,"This Man is provoking friends among themselves, the more you keep him away from your spaces, the better it is. 
Iske kuch bhi krne se friendship nhi tuttne wali hai Humari

#friendship #AKKU",8,1,21
Esther_YuShuXin.Global,@YuShuXin_Global,May 24,"Update from others || 2023.05.24

米西Missy Xiaohongshu update

#香港 #HongKong
#BestFriends #Besties #闺蜜
#YuShuxin #EstherYu #虞书欣 #우서흔 #ユー・シューシン #NguThưHân #อวี๋ซูซิน",,28,82
Fαҽ,@DeathMetalMum,May 26,"Ngl, I'm pretty tired of being the person who always checks in on people & starting conversations. People often take advantage of my kind nature, and it's tiring  I'm going to be more intentional about who I contact & how often. #drained #friendship",28,1,79
Julie Flaherty,@flahertycom,May 27,"Nothing will keep us apart 
Catching up with my gals 
@JillMacauley
 & 
@LouiseMcKinstr2
 at a fab 
@DownUup
 #BBQ night in the #PinkHouse 
@Cavan_House
#friendship #girlstogether #notseenthelastofthispair",,3,17
Dolphin Research Ctr,@DolphinResearch,May 25,"Sandy has a new roomie! Last week, Reese joined him in his lagoon and they're hitting it off.

Stop by sometime to see these new buddies getting to know each other!

#dolphinresearchcenter #welovedolphinseveryday #dolphins #floridakeys #saltlife #friendshipgoals",2,4,46
Jesse Duplantis,@jesse_duplantis,May 26,"Are You A Friend To Sinners? #jesseduplantisministries #jesseduplantis #explorepage #saints #sinners #friends #friendship #friendly #god #christ #jesus #bible #faith #encouragement #christiantiktok #christianitytiktok #christian 

Follow us on TikTok: JesseDuplantisMinistries",1,11,55
Mustajab Zehra,@MustajabDhoki,May 24,"The way she supported me in my worst years no one else did. She is irreplaceable 
#BFFs",3,3,74
"Jaxson, Jasmin, Mila, Sam and Stout",@brendanpgraber,May 24,"Good morning       
#princessjasmin #missmila #besties #bestfriends #content",6,3,82
