Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Lbs,@lovebeing_suzy,May 28,"Three slides of gorgeousness and beauriful friendship 
@thealbinoebubu
 and 
@thejaypee_
 
I stan just nice things plix 
 
#Jaypee #ebubu #friendship",5,13,225
ℂ𝕠𝕣𝕟𝕚𝕤𝕙𝕂𝕠𝕡𝕚𝕥𝕖𝕁𝟜𝕋𝟡𝟟,@ShaneMeneer,May 29,"Should of been the greatest night of our and Juventus lives but it turned into a nightmare.

Let’s all remain the 32 Italians,4 Belgians,2 French and 1 Northern Irish.

Football did not matter that night.

RIP THE 39  
#Heysel #Juventus #Liverpool #YNWA #friendship",4,19,163
Macja Preja,@MacjaPreja,May 28,"Gloria is having a chilled out Sunday. 
#MacjaPreja #AdoptDontShop #CatsofTwittter #catlover #ShelterCats #bestfriends #beauty",1,3,17
brittney,@barchielover13,May 28,Toni and Betty a gift of a friend #riverdale #betty #toni #friendship,2,1,8
𝓚𝓻𝔂𝓼𝓽𝓪𝓵,@p_ea_ce_,May 28,"Mention that one online friend
#BestFriends #OnlineFriends #yaara",5,2,9
NIKKI IRISH: IN HOUSTON NOW (Visiting NYC 6/19-23),@Nikki_Irish,May 30,My Memorial Day. #bestfriends #park #dogs #beer,8,4,91
Macja Preja,@MacjaPreja,May 28,"Beautiful Premy would like to wish you all a lovely evening. 
#MacjaPreja #AdoptDontShop #CatsofTwittter #catlover #ShelterCats #bestfriends #BlackCat",3,3,19
Jen,@cryptog8rl,May 27,"One of the best parts of 
@veecon
 is spending time with really awesome friends I made last year  Love these guys so much!  
@BevdB
 @TanyaLPrince11
 @Dolceboi99
 @veefriends
 @garyvee
 #squadgoals #jcrew",5,5,34
Angie,@pherasendiri,May 29,"As for me, I was a bit unlucky and didn't meet any good love, but fortunately, friendship has been taking care of me, thank you, my good sister #Friendship #Sister #Beauty #Woman #Sexy #like #Morning #stroll #Park #Enjoy #Free #Hapiness",1,2,20
Your Kind Sweet Angel Official,@SolLevano,May 29,"Huggy Hug's Angel

#yourkindsweetangel #AngelOc #huggywuggy #BabieOc #PoppyPlaytimefanart #PoppyPlaytime #fanart #ArtDigital #ibisPaintX #friendship",,,6
AKAQuietStorm88,@ksb1908,May 29,Happy Happy Birthday my beautiful friend of 26 years. I wish u many continued blessings.  #Potd #bhfyp #HappyBirthday #birthdaygirl #celebrate #smile #friends #celebrate #Phoebedawson #birthday #alfonsodawson #friendship,12,3,82
Yorkshire Club,@YorkshireClub19,May 28,"Who else gets this excited to see their #bestfriends
#yorkshireterrier #yorkielife #yorkielove",1,4,22
Esther_YuShuXin.Global,@YuShuXin_Global,May 27,"Update from others || 2023.05.27

Tiffgotit Xiaohongshu update

#来自星星的穿搭
#香港 #HongKong #fishing
#BestFriends #Besties #闺蜜
#YuShuxin #EstherYu #虞书欣 #우서흔 #ユー・シューシン #NguThưHân #อวี๋ซูซิน 
#Cpop #ChineseActress",,16,68
Jamie,@mrsmirg,May 29,An afternoon in NE Ohio with one of my favorite humans  #friendship #SundayFunday,1,,2
susan nefzger,@snefzgerpr,May 29,"Beach Beautiful Day! 
#bestfriends #amwriting",2,,3
PotatoFoxy,@ThePotatoFoxxo,May 28,"I made 
@Mass_Legion_
 vanish with a spell. #furry #furryfandom #friendship #nostalgia #vrchatfurry",6,5,88
Everyday,@Everydayfumetto,May 28," Looking for Snow Song - 4

#fumetto #fumettista #strisciacomica #fumettoindipendente #compiti #scuola #gag #arte #comics #comicstrip #friends #friendship

Sorry for my bad english",1,3,15
"Mae loves snc, kat, & stas",@katsxplrx,May 29,"#stasandkatrina: you’re my best friend, i love you forever 

#bestfriends #stnk",4,7,15
Macja Preja,@MacjaPreja,May 29,"Senior gentleman Alex is enjoyed this sunny day and is doing well with his fosters. 
#MacjaPreja #AdoptDontShop #ShelterCats #bestfriends #beauty #catlover #animalshelter #CatsofTwittter #SeniorCat #OldieGoldie",2,4,23
Gale Riding,@RidingGale,May 28,Mylo Finds A Friend #childrensbook  #friendship #kindness #authors #poets #writers.   Read and see how being #different didn't stop Mylo from finding a #friend,,4,8
Dream,@Dreamer_Avax,May 29,"You guys look better with a hat 

$Spore 
@sporeproject
 #Avax #bnb #friendship #BSCGEM",4,10,20
dont @ me,@_Skatepunkzz_,May 28,"the #mongarmy is taking over Twitter! 

 Just went on a $MONG follow binge, #MONGMOB suite up!   

#SQUADGOALS

Snapshot at 4am PST tmrw (monday)!

Get your affairs in order #MONGFAM,
next stop, the citadel >>>> 

#SQUADGOALS
@mong_coin
 
@mongs_nft",2,8,21
mustLearnMore,@mustLearnMore,May 28,"""Not what we have but what we enjoy constitutes our abundance.""
— Epicurus
#stoicism #courage #tenacity #resilience #strength #love #family #friendship #gratitude #wisdom #discipline #philosophy #Christianity #happiness #health #mindfulness #mentalhealth #psychology",,,4
Nandana Sen,@nandanadevsen,May 29,"Such fun to celebrate the birthday of marvelous 
@PeterBazalgette
 in #Tuscany w/ #friends who traveled across the world for the extended fiesta—filled w/ sunshine, wine, music, dancing, laughter & love

#weekendfun #longweekend #HappyWeekend #holidayweekend #friendship",5,3,52
mustLearnMore,@mustLearnMore,May 28,"""Rule your mind or it will rule you.""
— Horace
#stoicism #courage #tenacity #resilience #strength #love #family #friendship #support #community #gratitude #wisdom #discipline #philosophy #Christianity #happiness #health #mindfulness #mentalhealth #psychology #mustlearnmore",,,3
Ozzie girl - Loving life Sunshine,@OzzyGirlSunny_,May 28,Treasures in life  #friendship,1,4,7
mustLearnMore,@mustLearnMore,May 28,"Cease worrying about things beyond your will.
#stoicism #courage #tenacity #resilience #strength #love #family #friendship #support #community #gratitude #wisdom #discipline #philosophy #Christianity #happiness #health #mindfulness #mentalhealth #psychology #mustlearnmore",,,2
mustLearnMore,@mustLearnMore,May 29,"""Luck is what happens when preparation meets opportunity.""
— Seneca
#stoicism #courage #tenacity #resilience #strength #love #family #friendship #gratitude #wisdom #discipline #philosophy #Christianity #happiness #health #mindfulness #mentalhealth #psychology #mustlearnmore",,,1
mustLearnMore,@mustLearnMore,May 29,"""Who looks outside, dreams; who looks inside, awakes.""
— Carl Jung
#stoicism #courage #tenacity #resilience #strength #love #family #friendship #gratitude #wisdom #discipline #philosophy #Christianity #happiness #health #mindfulness #mentalhealth #psychology #mustlearnmore",,,1
mustLearnMore,@mustLearnMore,May 28,"""Never give up on a dream just because of the time it will take to accomplish it. The time will pass anywhere.""
— Earl Nightingale
#stoicism #courage #tenacity #resilience #strength #love #family #friendship #gratitude #wisdom #discipline #philosophy #Christianity #happiness",,,4
Young Professionals Forum Ondo,@YPFOndo,May 29,"IT'S AN AMAZING NEW WEEK!

How about achieving your goals faster and farther than you ever imagined?

Consider this quote:“If you want to go fast, go alone; but if you want to go far, get together”

#YPFOndosouth 
#Hopechurch
#Youngprofessionals
#MotivationlMonday
#Friendship",2,,2
Mystic KootenayGirl,@Kootenaygirl69,May 28,"Today is my best friends birthday. This woman is such a phenomenal human who has overcome life's bullshit in some remarkable ways. She IS a survivor.

She is the kind of friend that can literally complete my sentences.
I fuckin love her.

#RideOrDieHomie
#BestFriends
#Overcome",1,,17
Mary Keiser,@MaryKeiser1,May 29,"Sundays are more fun with  friends 

#dogsoftwitter  #dogs  #pets  #Animals
#bestfriends  #music",,,3
Jeremy,@Jayibiwoye,May 28,"It's a Happy Sunday from us here
So nice to finally meet the Boss 
@Caleb_fatorisa
 and to catch up with my wonderful friend 
@marybamidele_
 
In short, Sunday was amazing
First service at the 
@dclmhq
 
#GCK2ndAnniversary #DLConversations #friendship #celebrity #musician",3,1,57
WabiSabi,@Geeky_Foodie,May 28,"And very few understand this! But those few are enough  
#memoriesbringbackyou #Grief #Love #Friendship",7,1,26
Amanda Holley,@listentoamanda,May 29," #RideOrDie in between shots  random Bts w tha team & cast  so thankful for each of you!! 

STILLS  by 
@mikeypiliero
 
Hair color: 
@rafael
.torrecilla 
Style: @ryanmartir 
#streetstyle #friendship #artist #singer #songwriter #fashion #music #pinterest #losangeles #nyc",1,1,8
Glenn McDowell (He/Him),@Glenn6188,May 28,"Just a few student nurses with some time off, out letting their hair down  

#belfast  #studentnurses #thefutureisbright #SelfCareSaturday #selfcareforhealthcare #friendship #muchneededtimeoff #werealmostthere #examseason",,1,15
mustLearnMore,@mustLearnMore,May 28,"Nurture better habits...
• • • • •
#stoicism #courage #tenacity #resilience #strength #love #family #friendship #support #community #gratitude #wisdom #discipline #philosophy #Christianity #happiness #health #mindfulness #mentalhealth #psychology #mustlearnmore",,,2
Mariska Haring,@MariskaRocLuh,May 29,"SISTER FROM ANOTHER MISTER. 
@LaurelLHolloman
 and 
@tracymiddendorf
  #friendship #BFF",2,2,60
James Price,@JPriceCartoons,May 29,"A picture of Sally Squeeks with her squirrel friend Sam.

I wonder what these two are up to?

#cartoon #drawing #originalcharacterart #anthro #mouse #squirrel #rodents #digitalart #cute #friends #friendship",2,5,28
mustLearnMore,@mustLearnMore,May 28,"""To do harm is to do yourself harm. To do injustice is to do yourself an injustice.""
— Marcus Aurelius
#stoicism #courage #tenacity #resilience #strength #love #family #friendship #gratitude #wisdom #discipline #philosophy #Christianity #happiness #health #mindfulness",,,5
Inspiration by John,@LifeWithJohn,May 29,Friends may change but the memories last forever. ~ #TrueFriends,1,7,16
Fab Occasions™ ( The Fab App ),@the_fab_app,May 29,"Groom Squad hopping into the Trend smartly.. 

#indianbride #indianwedding #weddingdress #bridallehenga #nikah #muslimah #muslimbride #muslimwedding #trendingreels #trendingsongs #trendingaudio #newtrend #trendingnow #trendsetter #indiangroom #squadgoals #TrendingHot #Trending",1,1,2
Joceline Fuzailov,@Joceline11375,May 29,She rlly is my best friend I cannot find someone as crazy as her  #bestfriends,1,1,1
Madcats,@madcatsalumni,May 28,"https://linktr.ee/MadcatsAlumni

Diamond  Jubilee Celebration - IHM Chennai
Save the date - 11 August 2023 | Friday | 
#madcats
#madcat
#ihmchennaialumni
#ihmchennai
#hospitality
#reunion
#DCMF
#diamondsareforever
#ihmcaa
#madcatsreunion
#11aug2023
#friends
#friendship
#batchmates",,2,3
Cooper,@29_chubbyAmelia,May 29,"Thank you to Petunia Mae 
@PetuniaMaePug
 for my turtle stuffie  that Granny helped pick out.  I love it!  Also, thanks for my blueberry treats (not pictured), they're yummy.  #dogsoftwitter #friendship",13,15,174
VINTA NANDA,@vintananda,May 29,"Much happiness comes when you find your next film or it finds you. 

#seeyousoon 
#friendship #friendshipgoals #friends #life #filmmaker #dilsedirectorhoonyaar",,8,20
Mariam malik,@Mariamm76656591,May 28,"Okay when you are talking to your bestie 
#BestFriend #BestFriends #BESTY #student #Students #TrendingNow #TrendingNow #Trending",1,1,9
Claire,@BeachTimeClaire,May 28,"Alanis Morisette at Boston Calling! Have a bit of a girl crush on this legend!     Thank you 
@CornwallKateR
 and  
@CornwallKCMark
 for treating 
@SurfSnorkelSte
 and I to a fab weekend  #BestFriends",2,2,9
Inspiration by John,@LifeWithJohn,May 30,"Remember, life's most valuable antiques are dear old friends. ~ #TrueFriends",,8,18
KatShirt,@KatShirt,May 28,"Everyone has their path.
That doesn't make it anymore
Right or wrong 

Than yours.

#YourPath #Positivity #Wisdom #Inspiration #Friendship #Family #Life #Writers #Photography #Poet #Author #Artist #CatsOnTwitter #CatsOfTwitter",1,4,24
Nothing Down Here But Love,@NothingDown21,May 28,"What you can’t see on this photo is that Jack is hugging Alfie just as tightly! 

Despite the cool face… 

Despite the typical sibling squabbles…

Their love is deep!

#brotherlylove
#trisomy21awareness
#nothingdownaboutit
#downsyndromelove
#brothersforlife
#friendsforever
#t21",5,6,41
𝐀𝐫𝐦𝐚𝐧,@CoolBoyArman01,May 28,"𝙁𝙧𝙞𝙚𝙣𝙙𝙨𝙝𝙞𝙥
𝘿𝙤𝙣'𝙩 𝙉𝙚𝙚𝙙 𝘾𝙪𝙩𝙚 𝙫𝙤𝙞𝙘𝙚
𝘼𝙣𝙙 𝙡𝙤𝙫𝙚𝙡𝙮 𝙁𝙖𝙘𝙚 , 
𝙁𝙧𝙞𝙚𝙣𝙙𝙨𝙝𝙞𝙥 𝙉𝙚𝙚𝙙 𝙏𝙧𝙪𝙚
𝙃𝙚𝙖𝙧𝙩 𝘼𝙣𝙙 𝙐𝙣𝙗𝙧𝙚𝙖𝙠𝙖𝙗𝙡𝙚
𝙏𝙧𝙪𝙨𝙩 . 

#Friendship #friends #Trending",4,7,21
Kimberly Harle Solis,@KimHarleSolisSA,May 28,Found these two early birds that woke up early and didn’t want to wake anyone else up  #SundayMorning #SundayFunday #BestFriends #Dogman #dogsarelove,,1,26
♡♡ ÌFÈÒĹÙŴÀSÈÙÑ♡♡,@Ijesha_Damsel,May 28,"Sunday buffet with my beloved .
#may30th #birthdayinabit 
#FRIENDS4EVER #friendship #beloved #oluwaseun #SundayFunday #SundayBrunch",2,3,12
zwoṱhe_s,@siwada_zwothe,May 28,"Reunion and a farewell 
#friendship !",1,1,9
Valency Jarvis,@PsychNerdV,May 29,"How does laughter sweeten your friendships and refresh your heart?

#PositivePsychology #Quotes #Friendship",,,
Gale Riding,@RidingGale,May 28,Mylo Finds A Friend #childrensbook for kids 8 and under.  Send them to bed with a story of #kindness #friendship #compassion #authors #writers #poets. The kids will sleep better.,,2,3
ರಂಗನ್ ಮಾತು,@san15saarthu,May 27,"Nice mashup for all 
@KicchaSudeep
@dasadarshan
Fans... 

Unity is strength... 

#friendship

https://youtu.be/c9VU0wLVi3k",2,3,17
Samuel Brown (Sam),@SAMUEL_Dreama,May 29,"True, Jacob was so young when cast as Flounder now he's at that age turning into a young man, were does time go,lol Love the pic of you two #HalleBailey #JacobTremblay #TheLittleMermaid2023 #bestfriends",,,17
J and J Podcast,@TheAverageJs,May 28,"Episode 63 Clip 4

Should the Fast franchise connect with the Triple X franchise?
.
.
.
#theaveragejspodcast #podcast
#podcasts #bestfriends #television #writers #weeklywrp #wrp #movies #fast #fastx #fastandfurious #indiepodcast  #marvel #dceu  #games #twitch #retweet #repost",,,3
DOUGH ONAH,@doughonah,May 28,"Lights, camera, action! 

Here's to the magic of the silver screen and the joy of sharing it with the ones who make life a comedy worth watching! 

Happy birthday 
@OluwatobiMayowa
 More fulfilling years ahead    

#Birthday 
#FriendshipGoals #MakingMemories
#ChildrensDay",2,2,9
SHEPHARD KEMBO,@shephard_kemb,May 29,"#MondayMotivation 

What if I am not sure of my friends& colleagues true intentions,should i continue to hang around them? 

People don't normally exaggerate their actions,but what they say when you are around so always watch their actions&body language more! #action #friendship",,4,8
S❂YANA ART✤shinya,@SShinyam,May 28,"Kousa Dogwood
（Japanese Flowering Dogwood）

#ヤマボウシ 
#flowers #friendship 
#Shinyaさんの撮る写真
#soyana_art_shinya 

　　Shinya19❂86 ",1,,47
𝙲𝚑𝚛𝚒𝚜𝚝𝚒𝚗𝚊,@christina_tries,May 28,"Best Friends found the dogs! In the most adorable videos you will ever see in your entire life, 
@trentylocks
 & 
@SexyChuckieT
 play with some dogs! It’s just like their intro video come to life! 
#AEWDoNFanFest #BestFriends #Dogs",1,2,47
Jenny,@Jennster83,May 28,"I also got to get a big #BestFriends hug! Said hi to 
@Takesoup
!! Congratulated 
@willowwrestles
 on her epic win! And wished 
@thetayavalkyrie
 good luck! All in all, #AEWFanfest was fun!! Can't wait til #DoubleOrNothing tomorrow!!",1,3,47
Dimpooraj Talukdar,@Dimpooraj_India,May 28,"Ep: New Friends in Life , Thanks #anini.  
#assamese #friendship",,,2
mustLearnMore,@mustLearnMore,May 29,"""You hypocrite, first take the plank out of your own eye, and then you will see clearly to remove the speck from your brother's eye.""
— Matthew 7 : 5
#courage #tenacity #resilience #strength #love #family #friendship #gratitude #wisdom #discipline #philosophy #Christianity",,,1
Mohsen Sangi,@mohsen_sangi,May 29,"Days and weeks pass, but #friendship and kindness remain",1,2,4
Nick Montague,@montague_nick,May 28,"Great kids Stories -The Little Scamp's  - Sleepover Adventure: Nocturnal Animals & Farmhouse Fun   https://youtu.be/ojl8WhhQADM
#littlescamps #NocturnalAnimals #animals #sleepover #friendship #quizforkids #kidsquiz #KidsStories #storytime #kidsactivities",,1,
Angry Siân,@Angry_Sian,May 28,Love of my life #BFFs,,,2
Nebheprura,@nebheprura64,May 28,"Happy Trinity, friends! May the Almighty help you in all your good undertakings! #Trinity #faith #friendship",,1,23
Tizomu SHAFIC,@shafic_tizomu,May 29,"This Monday  morning am recalling moments of my first year in medical school, these are the covid times but Alhumdilillah Allah has pulled me through. 
This was with my old friend Edward. 
#COVID19 
#friendship",1,2,9
•ĐɆ฿Ɽ₳•,@RoseVioletDeb,May 29," Friendship is born at that moment when one person says to another, 'What! You too? I thought I was the only one'. 

#Quote  CSLewis 
#Friendship 
#SoulConnections ",,6,33
Inspiration by John,@LifeWithJohn,May 29,Notice the people who make an effort to stay in your life. ~ #TrueFriends,,10,17
MuYabi KhaNom,@JasLyXMuyabi,May 28,"Hum Log 
@Jaslyxsherya
 
@MettBeauty
 

#friendshipgoals",4,2,5
kay,@bvbeez,May 28,all here for the drama #bffs,,1,6
Sathish kumar - Sathish On Wheels,@Rsathishkumar36,May 28,"Sunday Beach Walk | #MarinaBeach | #WheelchairYoutuber
Stay Connected & Watch out more Videos ! Click Subscribe to Sathish On Wheels YouTube Channel - https://youtube.com/@SathishOnWheels?sub_confirmation=1…

#BeachWalk #Nanbie #Friendship #SundayBeachWalk #SathishOnWheels #disabilityawareness #WheelchairLife",,,3
Lina Ali,@LinaAliArt,May 29,"Beautiful wedding with beautiful people!

It was a lovely event and the couple looked so sweet together. Congratulations to the beautiful couple, Pn Lela and family.

#artist #artistlife #friend #friendship #love #people #linaaliart",,,1
BARE,@BAREInc_org,May 28,"NEW EPISODE 

Jen and Jordan discuss #friendship experiences before, during and after #transplant.

Listen on all podcasts platforms or click the link below:

https://open.spotify.com/episode/0vzuDD36jsO6AwYLvpNyrE?si=RqGsSpCvTCWkSRfKPc3IEA…

What has your friendship experience been like throughout your #BA journey?",,1,4
