Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
PhotosAndWoodwork123,@PhotoAndWoodArt,May 13,"""While Others Search For What They Can Take, A True King Searches For What He Can Give""... ~Mufasa

Have a beautiful weekend everyone!

#sunsetphotography #clouds #weather #lionking #nature #love #amazingnature",60,201,"1,229"
Mocha,@PN3skLO4IzdYVcA,May 12,"sea world

#GoodMorningTwitterWorld 
#Everyone 
#friends 
#love ",,50,67
Prime Video AU/NZ,@PrimeVideoAUNZ,May 12,"What happened between Nadia and Mason, is between Nadia and Mason. #spies #romance
: #CitadelOnPrime
: #PriyankaChopra #RichardMadden",1,21,88
محـمّد فہّـیم☆,@faheem16r949,May 13,"How is someone going to #love you, when they don’t even love the one what created you?
Take time to make time for the one who made time.",,,22
MuchMusic,@Much,May 13,A #Swiftie’s ultimate DREAM  #proposal #taylorswift #erastour #lovestory [: TikTok/kendall_child16],1,,13
Colleen L Donnelly,@ColleenLDonnell,May 12,Sometimes you need a good #Lovestory you can't put down. #Bestseller in #historicalromance http://amzn.to/1PNJo4S #wrpbooks,2,14,14
Kevin Carroll,@cevinkarrolld22,May 13,My boy Jayce all excited for his first communion tomorrow  #love,5,,53
Brooklyn Morgan Johnson,@BrooklynMorganJ,May 13,"any moment
any day

i will bloom

and you will remember that moment

when i was a teardrop
running down your cheek

when we smiled
forever

and promised to remember that moment forever 

~ brooklynmorgan
#inspire #love",3,11,24
NataliCuteeli,@NataliCuteeli,May 13,"Have a pleasant evening and a great Weekend everyone! 
Evening floral improvisations 

#cuteeli #art #love #nature #cute #beautiful #NaturePhotography #flowers #positive #scenery #flora #beauty #garden #evening #vibes",11,17,113
Eimhear Ó Dálaigh,@OEimhear,May 13,"A few family pictures before we head home to bed and we decided to recreate the picture of me and Handsome Husband from my 21st birthday in 1988, sitting at the same table. #family #love #loveislove #Children #kids",10,,49
justbeingBuffie,@BuffiePurselle,May 13,What’s wrong with dating a bus driver? Wtf do YOU do? #relationships #finance #buffiepurselle,3,2,34
Rubén Flores,@RubenFloresNYC,May 13,"Rescued a #Baby #Robin while running around the Jacquie Onassis Reservoir, & took it to the 
@wildbirdfund
 for rehabilitation! Pray for him, so he can recover! 
@CentralParkNYC
 @BirdCentralPark
 #birdcp #birdcpp #birdlover #birdphotography #wildlife #babybird #rescue #love #NYC",4,5,55
@Joe,@JoeTseGy,May 13,"""Worth to Listen one of Our Hero"" #Respect #Love #TDF #Tigray",1,5,13
Richard-C.Armitage-World,@RCA_Pics,May 12,"~ I feel like I'm associated with violence, and I'm really not a violent person .... So yes, I would like to do something nice and quiet that is about love. ~

⚘#RichardArmitage⚘ #LaraHillier #Odette #Swann #theatre #kiss #love",5,6,73
Estelle Ellis,@RealKrystalFox,May 13,I love this cutie!! Chunky like me lol #cuddly #strong #gratefulformybody #gratefulformyfans #love,3,45,282
Conall Ó Céidigh,@AnCeideach,May 13,"Say hello to the happiest man in the world! All thanks to my stunning wife 
@katv01
  #love #marriedcouple #MarriedLife #2weeks",1,,12
Brendan,@ChemScrapes,May 13,"And now for something completely different...
#love #partnership #support #Wellbeing",1,,12
Learn about Sexuality: the facts & explanations!,@LrnAbtSexuality,May 12,"Few women have any interest in any information about sexuality. Unlike men, women are not aroused by sexual discussions. https://LearnAboutSexuality.org #JaneThomas #relationships #SexualHealth",2,5,8
It Is Written,@itiswritten,May 12," No one can separate you from Christ’s love. 

#love #separate #heart #new #forever #faithful #hope #faith #mercy #forgiveness #itiswritten #verseofth #inspirational #salvation #God #Jesus #HolySpirit #Christ #blessed #goodnews #gospel #Bible #photooftheday #scripture #iiw",,25,66
Joanne Brown (Dickson),@JoanneBrown81,May 13,"All You Need Is Love 
#PhotoOfTheDay #MomLife #MyWorld #MyLittleLove #MyHeart #ThisIsLove #KeepSmiling #Love",1,,27
SAJ أمين ساجواني,@ameensajwani,May 12,"She stood beside me,
Umbrella in hand,
To protect me from raindrops.
But she don't you know that,
I don't care about raindrops
Rather, I derive warmth from her shadow scattered over
my body 

#OnceUponATime #Lovestory",,5,12
Koray,@korayguerel,May 12,"Natural love... ( for all of u) 

#photography #fotografie #art #photoart #nature #photo #NaturePhotography #love",1,5,35
