Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Roma!,@romanenco,May 11,"Don't you love details??? 
Commissions are OPEN 
for detailed backgrounds 
 Just DM me! #pixelart #love",10,69,523
RappCats,@RappCatsAdopt,May 11,"The sick #kittens we rescued last p.m. are doing well! A warm, safe room, food & medicine & voila - big diff in a day. Whew! This is 1@3 - more pix coming. #kitten #cat #AdoptDontShop #Virginia #VA #cute #love #luv #goodnews #PositiveEnergy #KittyTwitter #health #nova #dc",11,75,321
Scott,@Havenlust,May 11,"To escape and sit quietly on the beach - that's my idea of paradise. #Galapagos 
@LorenaMHurtado
 #love",18,58,278
Mocha,@PN3skLO4IzdYVcA,May 11,"very nice person

#GoodMorningTwitterWorld 
#Everyone 
#friends 
#love ",4,58,109
𝙂𝘼𝙈𝙀𝙭𝙂𝙄𝙍𝙇,@XxxGAMExGIRLxxX,May 11,"Meow ~ Today is a very happy day 
Hello Kitty in 
@FallGuysGame
 
I love Hello Kitty
Thank you, dreams do come true

#HelloKitty #Sanrio #Love #Cute #GamexGirl #GamerGirl #Girl #Ps4 #Ps4Share #cat #Kitty #Cutest #FallGuys #Meow",5,1,69
Zee,@growingupzee,May 11,"My sister, Rashka, itching to be in show business.  #CatsOfTwitter #love",5,13,141
⍟ ᥫ᭡ Ɠя3тє ᥫ᭡ ⍟,@Gr3Te4rights,May 11,"Daily couple therapy 
#GretiansTag #effortnotperfection #consistency #commitment #compromise #GirlTalk #Gr3toplist #lifelessons #couplestherapy #CouplesGoal #MentalHealthAwarenessMonth #MensHealth #mensmentalhealth #Resist #genuinefeelings #mentalhealth #relationshipgoals",1,2,4
Commons Church,@commonschurch,May 11,"Paul and homosexuality  

#peace #lord #inspiration #life #bible #wordofgod #motivation #godislove #relationship  #scripture #sermon #christians #quotes #holy #wisdom #blessing #jesus #love #community #sexuality",3,4,28
JayLilRoseCollection,@TheJayLilRose,May 11,"#JayLilRoseCollection shows our #supporters #love & we did tell #you we absolutely  
@ZombaeUndead
   Thanks for all your continue #support of our brand with your purchases, video unboxing, & wearing our #AMAZING merch #AI #horror #mua no © ™ to zombae likeness",,3,6
The Battle Bunnies NFT,@battlebunnynft,May 11,"Shoutout to our incredible Artists & Founders 
@FrankLaNatra
 & 
@ChristaTBB
 

Husband & Wife #PowerCouple who are amazing!!

They're always in #Discord & such sweethearts!

& super #Talented at everything they do! 

#flufflefam #NFTFounders #NFTProject #Love #duo",9,15,26
Beautiful & Aurellia,@Aurellia421,May 10,"Follow my 
#Love",7,74,413
Kessily Lewel,@KessilyLewel,May 11,"A rekindled romance. A second chance at love. The Dominant she needs.
https://amazon.com/gp/product/B0BBCKFGGF…
 #RomanceSG #romance #ebooks #yesdaddy #contemporaryromance #book #CowboyRomance #amreadingromance #steamyreads #Spanking #KinkyRomance #DaddyKink #readingForPleasure #BoxSet #Wednesday",,17,19
Melisa Quigley Author,@MQuigley1963,May 10,"Dreaming
Birds fly free
You’re there waiting
I hope, for me
I reach for you
Fall off the cliff
Down, down, down
Into the abyss

#BooksWorthReading #poetrytwitter #poetrycommunity #PoetryInMotion #Novel #LOVESTORY 

https://mybook.to/Quigley_Bereft",,326,390
sarahlouisemulligan,@sarahlmull82,May 11,"I Am - Right Beside U

I Stand - Right Beside U

I Stay - Right Beside U

I'll Be - Right Beside U

ALWAYS 

I Know A #GoodMan-When I See One

Every DART & ARROW I Took For U

Was WORTH IT

#Loyalty is EVERYTHIN 

So Amazin To Have Met U In #Doonbeg #Ireland

#Love U",3,5,56
"Muttville Senior Dog Rescue, San Francisco",@Muttville,May 11,"GANDALF (pink hat) was #adopted by his wonderful #foster mom, Cheyenne. Gandalf is one #luckydog! He's living in #SanFrancisco with  doggy & kitty sibs now.
He's soaking up the #love and he'll enjoy the beach-one of his favorite things! ",1,15,90
