Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Elana,@Elana__Love,May 27,Some like it Hot... #Love,132,223,"2,373"
Paul Williams,@pvt_ak,May 28,"Well. I have to say that this movement of walking my daughter, this bride,  up the aisle at the same church I married her mother, has to be one of my proudest moments ever. Ever. 
#love 
#wedding",436,337,"8,230"
•⋆⋆✮Kris✮⋆⋆•,@Kristal38922455,May 27,"Good Evening 
#Lovely #nature #photo #love",4,112,254
Beautiful & Aurellia,@Aurellia421,May 27,"Follow my 
#Love",23,69,750
SONAL CHAUHAN,@sonalchauhan7,May 28,"𝓢𝓲𝓷𝓬𝓮 𝓲𝓽𝓼 𝓢𝓤𝓝 𝓓𝓐𝓨 
#SonalChauhan #sundayvibes #love #GOLD",273,519,24.6K
kerry washington,@kerrywashington,May 27,Happy 51st Anniversary to these crazy kids  #CoupleGoals,56,236,"5,306"
JANE,@CosmicJane1,May 28,"Hey Twitter, family check out the new rescue kittens Uncle Ray has  #kittenrescue #kittens #cats #caturday #catsoftwitter #happyvibe #love",17,16,195
Pinkvilla,@pinkvilla,May 28,"#KaranKundrra and #TejasswiPrakash𓃵 look so in love as they pose together for the paparazzi 

#TejaTroops #Teja #TeJran #love",40,586,"1,838"
J.G. MacLeod,@jgmacleodauthor,May 28,"Warm up with #Romance. Always #Free on #KindleUnlimited.

Romantic Suspense:
https://amazon.com/Moment-Time-Romantic-Suspense-Novel-ebook/dp/B08Y92J848/…

Time-travel Rom Com:
https://amazon.com/Future-Bride-MacLeod-Time-Travel-Romcom-ebook/dp/B07YK4J8VY/…

Historical Romance:
https://amazon.com/dp/B094NSN4K1/

Contemporary Fiction:
https://amazon.com/dp/B07F3FHTQY#SalesRank…

Vote:
https://goodreads.com/list/show/188559.Introduction_To_Indie_For_Trad_Readers…",9,261,185
Beautiful & Aurellia,@Aurellia421,May 27,"Follow my 
#Love",15,54,499
Aurellia ♡☆♡,@Aurellia42,May 28,"Follow my 
#Love
Love you all 
#Beautiful",41,117,"1,208"
AZLAN,@Beata_Azlan,May 28,"Mom made pierogi!!!  

Soooo yummy, come frens while they last! 
Have a wonderful weekend & Memorial Day celebration
#dogsoftwitter #MemorialDay #Cooking #fun  #weekend #love",80,22,349
Claire,@Clarialorrene,May 28,"Looking at you

#Selfie #california #deathvalley  #Dogecoin #germany #happy #girl #fashion #stylish #beauty #travel #cosmetics #dresses #American #IPL #lips #hairyuncut #beautytips #hairstyles #love  #USA #selflove #PositiveVibes #weekend #Dubai #Greece #Germany #Weekend",6,9,27
Nick Mackman Animal Sculpture,@NickMackman,May 28,"Baby Asian elephant sculpture from the archive. Baby animals are always fun to sculpt and elephants, with their squidgy bodies, give me a chance to explore their skin textures and beautiful shapes. Please SHARE and spread http://nickmackmansculpture.co.uk/portfolio #elephant #love!",5,21,102
Patrick Carney,@Carney_ART,May 28,"I'm a gentleman, call me
old fashioned if you’d like.

#MichaelJackson #Art #KingOfPop #CarneyArt #KingofPopMichaelJackson #GlovedOne #Love #Music 
#ThereIsOnlyOne #MJFam
#artoftheday #Quote",12,31,77
Beautiful & Aurellia,@Aurellia421,May 27,"Follow my 
#Love",12,42,423
Tappytoon Comics,@Tappy_toon,May 27,"Check out our first round of June releases (plus one more for May!).
- A Tipsy Marriage Proposal for the Emperor 
- Backstage Kiss Scene 
- Civilian A
- My Bias is Showing?!

Read them on Tappytoon soon!

#Romance #BL #Tappytoon #Comics",6,80,285
chika,@chikadancesalot,May 28,"#HarukiMurakami
#AWildSheepChase

The sound of the waterfall grew faint, then came back.
“You still like my ears?” she asked.
I smiled and quickly reached out my hand to touch them.
“You know I do,” I said.

#love 

photo from ad movie by DIOR 
in screen of Ginza Mitsukoshi",1,3,25
RappCats,@RappCatsAdopt,May 28,"Little Lily is the 2nd #cat we got an application for yesterday! If all goes well, she'll be Pluto's forever sister. They've just met, but seem to get along well! #cats #AdoptDontShop #virginia #va #nva #nova #dc #pets #love #luv #PositiveVibes #goodnews #sunday #sundayvibes",41,111,773
Home Blue/ Leoanard productions/ Don Puto,@HomeBlue19,May 28,"A new ship was made today, And now I can't stop thinking about it. 

#Bluey #blueyfanart #blueyart #love",5,11,83
Emanelassiofficial,@Eman_elassi,May 28,"Let Love grow 
#Love",32,25,"1,816"
mrperfect,@mrperfe18862344,May 28,"BEST VIDEO EVER ...

IF U SEE TEARS  IN SOMEONE ELSE'S EYES BUT U FEEL THE PAIN THAT MEANS YOU ARE TRULY A HUMAN BEING 

#humanity #KindnessMatters 

#AnkitGupta #PriyAnkit #AnkitBattalion #Love",2,8,20
Ak,@Ak63682467,May 27,"Best intro for an actress & Bgm also 

#YuvanshankarRaja #love #Vibe",1,71,360
